gene,annot,lfc,KOG,nseqs,delta.rank,pval,padj
Pseudodiploria165626,DNA replication,0.31304526290563195,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria165688,carbohydrate binding,-0.2517861425189907,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria165697,Belongs to the peptidase S1 family,0.5533026282373416,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria165707,von Willebrand factor D and EGF,0.14788351605276517,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria165745,chitin binding,0.032931540820621885,"Cell cycle control, cell division, chromosome partitioning",123,79,0.734608875073709,0.8524081466086086
Pseudodiploria165774,SHC (Src homology 2 domain containing) transforming protein,0.17839381813513616,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria165799,"Acidic (leucine-rich) nuclear phosphoprotein 32 family, member",0.15307693561561467,"Cell cycle control, cell division, chromosome partitioning",123,79,0.734608875073709,0.8524081466086086
Pseudodiploria165848,mesenchymal-epithelial cell signaling involved in prostate gland development,0.14542573550564397,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria165858,Galactosyltransferase,0.7220124992754715,Carbohydrate transport and metabolism,302,67,0.652392451258224,0.8524081466086086
Pseudodiploria165903,metallocarboxypeptidase activity,0.20689863147925186,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria165918,sodium potassium-transporting ATPase subunit,-0.3103970612550083,Inorganic ion transport and metabolism,227,-32,0.850803506696864,0.8862536528092334
Pseudodiploria165927,O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway,-0.3799227503817322,Coenzyme transport and metabolism,63,645,0.0457640264011967,0.2449456558415818
Pseudodiploria166027,"oxidoreductase activity, acting on the CH-CH group of donors",0.7863439146072538,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria166037,elastin catabolic process,0.14075831725782736,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria166067,structural constituent of ribosome,-0.09810917134595364,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria166086,carbohydrate binding,-0.41461906087607064,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria166133,cysteine-type endopeptidase activity,0.25724521853364885,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria166176,sequence-specific DNA binding,-1.4228907999319018,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria166221,protein heterodimerization activity,-0.22630565776729755,Chromatin structure and dynamics,65,95,0.765820888412508,0.8524081466086086
Pseudodiploria166343,Belongs to the cullin family,0.7774836470494816,"Cell cycle control, cell division, chromosome partitioning",123,79,0.734608875073709,0.8524081466086086
Pseudodiploria166370,seminal vesicle morphogenesis,0.1706230193799457,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria166451,Protein of unknown function (DUF1295),-0.41443684821279236,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria166516,Beta-lactamase,-0.765959614734524,Defense mechanisms,47,355,0.341544523659585,0.6334897732393839
Pseudodiploria166585,"ATPase activity, coupled to transmembrane movement of substances",-0.20874409298316832,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria166605,protein kinase binding,-0.4021930420427557,Inorganic ion transport and metabolism,227,-32,0.850803506696864,0.8862536528092334
Pseudodiploria166659,dynein intermediate chain binding,-0.0745931434385981,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria166687,lipid catabolic process,1.4374163832793367,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria166695,Belongs to the globin family,0.24927054300619483,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria166741,Aldolase/RraA,0.1637874495741332,Carbohydrate transport and metabolism,302,67,0.652392451258224,0.8524081466086086
Pseudodiploria166865,histone deacetylase,-0.506298569059238,Chromatin structure and dynamics,65,95,0.765820888412508,0.8524081466086086
Pseudodiploria166918,protein localization to kinetochore,0.05371461094768865,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria166945,regulation of nucleic acid-templated transcription,-0.2464834087595105,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria167028,complement component C4b binding,0.06786909370051925,Amino acid transport and metabolism,288,243,0.112566335662496,0.28141583915624
Pseudodiploria167050,Nuclear receptor binding factor,-0.12950935834939406,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria167064,small ribosomal subunit rRNA binding,-0.10388455479431487,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria167090,"hydrolase activity, acting on ester bonds",0.11806149149099489,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria167121,ORAI calcium release-activated calcium modulator,-0.8227057978069083,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria167319,UPF0468 protein C16orf80 homolog,0.1355855910110401,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria167375,Ligand-gated ion channel,0.10296331753701511,Inorganic ion transport and metabolism,227,-32,0.850803506696864,0.8862536528092334
Pseudodiploria167429,"Solute carrier organic anion transporter family, member",0.9537917180987925,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria167480,helix loop helix domain,0.5835291971035446,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria167511,ubiquitin-like protein ligase activity,1.437826028972892,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria167513,hydrolase activity,1.1017105541420753,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria167543,BAG family molecular chaperone regulator 4,-1.042369629370407,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria167569,Belongs to the glycosyltransferase 43 family,0.030179832689969217,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria167582,protein serine/threonine kinase activity,0.35677342282873303,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria167593,calcium ion binding,-0.2245143914290009,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria167615,dosage compensation by inactivation of X chromosome,-0.12104036689966,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria167634,Belongs to the peptidase M10A family,0.21646462130260952,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria167684,sequence-specific DNA binding,1.5713566114833388,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria167722,serine-type endopeptidase activity. It is involved in the biological process described with proteolysis,-0.4336841407632449,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria167732,fucosyltransferase activity,0.22000844637374767,Carbohydrate transport and metabolism,302,67,0.652392451258224,0.8524081466086086
Pseudodiploria167761,CDK-activating kinase assembly factor,0.7243655082554009,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria167849,"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity",-0.6399345139517971,Coenzyme transport and metabolism,63,645,0.0457640264011967,0.2449456558415818
Pseudodiploria168090,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,0.013319332003852068,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria168111,regulation of translation involved in cellular response to UV,-0.015309914059681963,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria168157,spleen development,0.14670676011595085,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria168198,"phosphotransferase activity, paired acceptors",0.09631461820947132,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria168210,Pyruvate dehydrogenase E1 component subunit beta,-0.2899973067849847,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria168310,E3 ubiquitin-protein ligase,-0.6161481644940098,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria168311,structural constituent of ribosome,-0.4985551470521263,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria168317,visceral mesoderm-endoderm interaction involved in midgut development,-0.849504346300016,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria168389,"Homogentisate 1,2-dioxygenase",0.4311132389950899,Amino acid transport and metabolism,288,243,0.112566335662496,0.28141583915624
Pseudodiploria168399,Beta-lactamase,0.5401202207414454,Defense mechanisms,47,355,0.341544523659585,0.6334897732393839
Pseudodiploria168408,neurexin family protein binding,-0.23405533595846656,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria168417,Belongs to the peptidase M10A family,-0.9827949547332847,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria168508,DNA polymerase zeta catalytic,-0.07711043298178051,"Replication, recombination and repair",297,-275,0.0681106061268553,0.2449456558415818
Pseudodiploria168524,DNA-directed 5'-3' RNA polymerase activity,-0.16722433895421765,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria168620,sensory neuron axon guidance,-0.7453205779017448,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria168707,protein ubiquitination,-0.05653213838587478,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria168789,histone H3 acetylation,-0.09840393063850017,Chromatin structure and dynamics,65,95,0.765820888412508,0.8524081466086086
Pseudodiploria168861,NADP-retinol dehydrogenase activity,0.5545375742370096,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria168864,Anthrax toxin receptor 2,-0.17868423432124728,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria168895,G-protein coupled receptor activity,0.7577190252186886,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria168902,serine-type endopeptidase activity,0.9627546738758235,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria168999,Sulfotransferase family,0.1725556925353529,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169012,activation of NF-kappaB-inducing kinase activity,-0.037516024587449286,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169019,non-haem dioxygenase in morphine synthesis N-terminal,-0.07373886105074902,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria169154,negative regulation of transcription from RNA polymerase II promoter involved in heart development,-0.14322623666165848,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria169174,carbonate dehydratase activity,1.2922403894629444,Inorganic ion transport and metabolism,227,-32,0.850803506696864,0.8862536528092334
Pseudodiploria169221,molybdenum cofactor sulfurtransferase activity,-0.6283779142828863,Coenzyme transport and metabolism,63,645,0.0457640264011967,0.2449456558415818
Pseudodiploria169238,Si dkey-5i3.5,0.6744623637301463,"Cell cycle control, cell division, chromosome partitioning",123,79,0.734608875073709,0.8524081466086086
Pseudodiploria169296,mitochondrial respiratory chain complex IV assembly,-0.19723830160520966,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169297,amine oxidase,0.5037541926255956,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria169328,heme binding,0.32025757164709123,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria169331,"protein phosphatase, Mg2 Mn2 dependent, 1B",-0.523671230674993,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria169340,Belongs to the eukaryotic ribosomal protein eS30 family,0.07459605313559604,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria169343,peptidyl-prolyl cis-trans isomerase activity,-0.324123624648945,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169448,Methyltransferase domain,0.1960322539141413,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria169558,histone monoubiquitination,0.10910240204008663,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169583,"mitochondrial electron transport, NADH to ubiquinone",-0.06512416147770604,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria169594,phosphogluconate dehydrogenase (decarboxylating) activity,-0.2745449132360238,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria169595,"Solute carrier family 25 (pyrimidine nucleotide carrier ), member 36",0.09582198092784573,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria169626,regulation of tubulin deacetylation,-0.2505777337340246,Chromatin structure and dynamics,65,95,0.765820888412508,0.8524081466086086
Pseudodiploria169687,regulation of nucleic acid-templated transcription,0.09422945590263059,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria169731,14-3-3 homologues,0.8446998449377696,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169764,"Zinc finger, C3HC4 type (RING finger)",-0.2019814831129316,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169778,regulation of intraciliary retrograde transport,0.3180089967213556,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169779,protein transport,-0.8608714849142716,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria169788,Histone H3-like nucleosomal protein that is specifically found in centromeric nucleosomes. Replaces conventional H3 in the nucleosome core of centromeric chromatin at the inner plate of the kinetochore. The presence of CENPA subtly modifies the nucleosome structure and the way DNA is wrapped around the nucleosome and gives rise to protruding DNA ends that are less well-ordered and rigid compared to nucleosomes containing histone H3. May serve as an epigenetic mark that propagates centromere identity through replication and cell division,0.1978496990757272,Chromatin structure and dynamics,65,95,0.765820888412508,0.8524081466086086
Pseudodiploria169843,threonine-type endopeptidase activity,-0.28923193180114076,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria169844,ATPase activity,0.18191353576857283,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria169865,Pleckstrin homology domain.,0.8436513614535531,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria169874,nuclear protein,0.3117484432481501,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria169881,suppressor of cytokine signaling,0.37750775623888616,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria169885,Belongs to the G-protein coupled receptor 1 family,-0.4350270398468345,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria169914,hydrolase activity,-0.1709194663866544,"Replication, recombination and repair",297,-275,0.0681106061268553,0.2449456558415818
Pseudodiploria169937,dynein intermediate chain binding,0.1723920243783312,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria170005,Methyltransferase domain,1.5245565027179204,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria170014,gamma-glutamyl-peptidase activity,-0.38706090748863553,Coenzyme transport and metabolism,63,645,0.0457640264011967,0.2449456558415818
Pseudodiploria170034,Homeodomain,0.2990316973282503,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria170065,spliceosomal tri-snRNP complex assembly,0.7780109226579343,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria170066,"oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor",0.014453888246708096,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria170124,DNA-damage inducible protein 2,-0.05032822780370413,"Replication, recombination and repair",297,-275,0.0681106061268553,0.2449456558415818
Pseudodiploria170129,sulfurtransferase,-0.6605481585240485,Defense mechanisms,47,355,0.341544523659585,0.6334897732393839
Pseudodiploria170148,melanocortin receptor activity,-0.7077422900785375,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria170157,transcription by RNA polymerase I,0.5228518322506719,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria170208,SKI DACH domain containing 1,0.5956273815232492,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria170224,Golgi vesicle fusion to target membrane,-0.2832894546893567,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria170278,store-operated calcium channel activity,0.3077702193157684,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria170323,Homeodomain,-0.13821195203571204,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria170338,Golgi vesicle fusion to target membrane,2.2932889768550563e-4,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria170347,Mitogen-activated protein kinase kinase kinase 4,-0.9059354894742704,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria170361,translation initiation factor activity,-0.09151567745987331,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria170362,rRNA pseudouridine synthesis,-0.21220865727602814,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria170377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",0.601498434506674,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria170421,proteasome assembly,0.11453439462109108,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria170440,"General transcription factor IIIC, polypeptide 5, 63kDa",-0.8500986604316783,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria170457,sphingolipid delta-4 desaturase activity,-0.1700955141538977,Lipid transport and metabolism,241,80,0.630850721326972,0.8524081466086086
Pseudodiploria170465,organic anion transmembrane transporter activity,0.17524297642159992,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria170534,structural constituent of ribosome,0.05277157738247683,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria170546,Belongs to the adenylyl cyclase class-4 guanylyl cyclase family,0.21834207808105668,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria170549,intestinal epithelial cell development,0.08518444199244102,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria170580,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,-0.45409026029763727,"Replication, recombination and repair",297,-275,0.0681106061268553,0.2449456558415818
Pseudodiploria170644,Protein kinase C and casein kinase substrate in neurons,-0.1613690645736028,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria170658,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity,1.4455628428730878,Carbohydrate transport and metabolism,302,67,0.652392451258224,0.8524081466086086
Pseudodiploria170669,CD109 antigen-like,-0.3855186651533903,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria170688,ubiquinol-cytochrome-c reductase activity,-0.1749805675320357,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria170692,serine arginine-rich splicing factor,0.33524033915286394,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria170800,"subunit, beta",-0.5184122406067846,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria170862,Limbic system-associated membrane protein,0.021818685239336322,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria170865,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,-1.505250747063731,"Replication, recombination and repair",297,-275,0.0681106061268553,0.2449456558415818
Pseudodiploria170901,[heparan sulfate]-glucosamine 3-sulfotransferase 1 activity,0.4277881537019516,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria170937,"mitochondrial electron transport, NADH to ubiquinone",0.06817859734419045,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria170983,Rho guanyl-nucleotide exchange factor activity,-1.7911631768588363,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria171038,G-protein coupled receptor signaling pathway,0.6106272112074145,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria171067,calcium ion binding,-0.008589359035071988,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria171078,oxidoreductase activity,-0.0468625283647832,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria171107,DNA binding,0.674053826476714,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria171120,Rho GDP-dissociation inhibitor activity,0.23602067870135726,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria171175,COG0277 FAD FMN-containing dehydrogenases,-0.3847537295633129,Energy production and conversion,208,295,0.0995776167382165,0.27660449093949024
Pseudodiploria171196,Belongs to the MYST (SAS MOZ) family,0.3903340205699677,Chromatin structure and dynamics,65,95,0.765820888412508,0.8524081466086086
Pseudodiploria171216,NADP-retinol dehydrogenase activity,0.037331547021738895,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria171258,Uncharacterised protein family UPF0552,0.5434218457039998,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria171291,Homeodomain,0.7940405715855037,Transcription,499,-67,0.567031613449666,0.8524081466086086
Pseudodiploria171293,trafficking protein particle complex,-0.1515738148635543,"Intracellular trafficking, secretion, and vesicular transport",384,-243,0.0685847836356429,0.2449456558415818
Pseudodiploria171301,translation,-0.01480785325406327,"Translation, ribosomal structure and biogenesis",310,437,0.00307642365879755,0.07691059146993875
Pseudodiploria171324,radial glial cell differentiation,1.1321118799520882,Signal transduction mechanisms,1143,-159,0.0500236196669149,0.2449456558415818
Pseudodiploria171377,thiol-dependent ubiquitin-specific protease activity,-0.011550504133676837,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria171378,non-haem dioxygenase in morphine synthesis N-terminal,0.4398753968233403,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria171411,Isochorismatase family,-0.1266391631079176,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria171415,xylosylprotein 4-beta-galactosyltransferase activity,-1.0615605710999787,Carbohydrate transport and metabolism,302,67,0.652392451258224,0.8524081466086086
Pseudodiploria171434,ABC transporter transmembrane region,0.10881734883698287,"Secondary metabolites biosynthesis, transport and catabolism",203,473,0.00912920523334143,0.09120951955595667
Pseudodiploria171443,Belongs to the DEAD box helicase family,0.08869970689775718,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
Pseudodiploria171450,Hsp70 protein binding,-0.25424922115174475,"Posttranslational modification, protein turnover, chaperones",951,-28,0.74702730313881,0.8524081466086086
Pseudodiploria171488,ATP-dependent RNA helicase activity,-0.46522409229010137,RNA processing and modification,317,137,0.349957470357992,0.6334897732393839
