gene,lpv_Treated_vs_Initial,lpv_Untreated_vs_Initial,annot,KOG
Acropora_000296,-4.636798088170204,-4.6918438742470725,carbohydrate binding,Function Unknown
Acropora_000298,-5.952161767222467,-7.155722067881304,NA,NA
Acropora_000301,-3.9054346507103,-3.2353778861878992,NA,NA
Acropora_000307,-3.1409101261444174,-2.6930680968210727,Sperm-tail PG-rich repeat,Function Unknown
Acropora_000310,-8.28180936460139,-7.624153693812744,extracellular ligand-gated ion channel activity,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_000313,1.2834922001868232,2.5232479920956052,acetylcholine-gated cation-selective channel activity,Signal transduction mechanisms
Acropora_000315,-1.5260786614980555,7.517346131905555,NA,NA
Acropora_000323,-1.2758313391688068,-3.82470717712048,transitional stage B cell differentiation,Signal transduction mechanisms
Acropora_000324,1.31027310265756,1.004087838529557,NA,NA
Acropora_000325,1.495767830178405,3.818546145628212,alpha-methylacyl-CoA racemase activity,Lipid transport and metabolism
Acropora_000327,1.1078216354373713,2.3189116216569787,NA,NA
Acropora_000328,3.120764021480804,3.1013319325175774,hematopoietic progenitor cell differentiation,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_000331,4.852550328280169,15.752057115406856,protein auto-ADP-ribosylation,Carbohydrate transport and metabolism
Acropora_000334,4.510021315350737,3.1967030797226967,mannosylation,Carbohydrate transport and metabolism
Acropora_000363,-3.5259146755386754,-5.226540374714311,negative regulation of non-canonical Wnt signaling pathway,"Posttranslational modification, protein turnover, chaperones"
Acropora_000366,-3.42229359997752,-1.0321872710678128,"BCL (B-Cell lymphoma); contains BH1, BH2 regions",Signal transduction mechanisms
Acropora_000368,1.4322398890644648,1.908219001209817,Family with sequence similarity 172 member A,Function Unknown
Acropora_000372,2.500174603473063,4.526336475619868,ribosomal protein,"Translation, ribosomal structure and biogenesis"
Acropora_000387,1.8287138529723617,2.871384563049339,NA,NA
Acropora_000391,-1.9867713627629733,-1.0342595685835974,HAD-hyrolase-like,Carbohydrate transport and metabolism
Acropora_000393,2.6219973166688884,4.316825880012854,DTW,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_000394,-2.3453295711907343,-1.9482394901113516,protein deubiquitination involved in ubiquitin-dependent protein catabolic process,Signal transduction mechanisms
Acropora_000395,-3.9974004903452265,-4.113268596865858,Calcium calmodulin-dependent protein kinase,Signal transduction mechanisms
Acropora_000405,-2.6220828072947664,-1.3575213754702846,NA,NA
Acropora_000413,-1.5073598252632787,-2.5700224109263,NA,NA
Acropora_000418,1.7003651556783939,4.711256680630067,Cupin-like domain,
Acropora_000425,1.7935367961754793,3.2128171913447763,Glucose dehydrogenase C-terminus,Amino acid transport and metabolism
Acropora_000429,1.3050528466234046,1.830229239493155,alpha-galactosidase activity,Carbohydrate transport and metabolism
Acropora_000447,-6.655923773967252,-3.7342230074934637,snRNA transcription by RNA polymerase III,Transcription
Acropora_000448,10.811351094408968,13.819703847597703,LSM domain,RNA processing and modification
Acropora_000457,1.8263362266304697,1.6033773494955987,NA,NA
Acropora_000466,-2.8446058298171506,-2.0627855415833167,NA,NA
Acropora_000480,-13.36898029739641,-7.3511042193759,NA,NA
Acropora_000481,-7.893741573460814,-5.121922182369135,NA,NA
Acropora_000487,-2.5349918212071842,-2.6483511363012346,NA,NA
Acropora_000490,3.7683445411712126,5.175926710827987,regulation of Golgi inheritance,Signal transduction mechanisms
Acropora_000497,-1.5205929950428292,-3.139138346974432,FKBP-type peptidyl-prolyl cis-trans isomerase,"Posttranslational modification, protein turnover, chaperones"
Acropora_000498,2.5016180352737987,8.096712718513903,structural constituent of ribosome,"Translation, ribosomal structure and biogenesis"
Acropora_000499,-4.909745828489927,-6.512760950344691,NA,NA
Acropora_000501,-1.8527257562629607,-7.234015312988124,Homer protein homolog,Function Unknown
Acropora_000503,-4.404921598077582,-3.697234539386808,"calcium, potassium:sodium antiporter activity",
Acropora_000509,-11.735289487000628,1.7629988833448857,protein disulfide isomerase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_000511,-1.6337330112932238,-11.252258302588729,NA,NA
Acropora_000517,-1.9586182295757872,-1.168283555609515,NA,NA
Acropora_000519,2.5074973232509636,9.947918445689393,NA,NA
Acropora_000525,3.9780316631594292,2.8233043372402786,NA,NA
Acropora_000532,1.5980847424997675,1.2054119488344246,NA,NA
Acropora_000551,-1.2422294299405667,-1.456447598960563,NA,NA
Acropora_000564,-4.903461640811311,-1.8573075093909377,zinc ion binding,"Replication, recombination and repair"
Acropora_000573,-1.7594585190959102,-1.814609113717855,intein-mediated protein splicing,Signal transduction mechanisms
Acropora_000580,-2.3664623468000627,-3.91409185123965,helicase activity,Chromatin structure and dynamics
Acropora_000587,-2.7081782750257415,-1.1805333073640256,NA,NA
Acropora_000594,-3.7074576483474013,-4.517356755593146,NA,NA
Acropora_000602,4.831365350052434,9.102844455117996,NA,NA
Acropora_000605,3.129795957118265,5.7968409140458865,NA,NA
Acropora_000610,-5.487229071537674,-2.9556338147517685,NA,NA
Acropora_000611,-4.378593955782255,-4.86099436058877,NA,NA
Acropora_000614,-4.810323273257089,-3.5645529718141455,"negative regulation of transcription, DNA-templated","Replication, recombination and repair"
Acropora_000619,4.827989661259514,5.2049545723757245,Rab guanyl-nucleotide exchange factor activity,Signal transduction mechanisms
Acropora_000624,5.49554704311169,1.597425924035843,NA,NA
Acropora_000626,-3.109384501593424,-6.597851336096711,negative regulation of negative chemotaxis,Amino acid transport and metabolism
Acropora_000629,-2.9423126037142557,-13.056276966852217,negative regulation of negative chemotaxis,Amino acid transport and metabolism
Acropora_000631,4.853383914076188,1.6121306585114825,NA,NA
Acropora_000633,-1.5525637000344525,-2.6198230640295717,SH3/SH2 adaptor activity,Signal transduction mechanisms
Acropora_000644,2.660296539475442,4.960261468967282,NA,NA
Acropora_000647,3.129795957118265,2.5956881984921814,dimethylglycine dehydrogenase activity,Amino acid transport and metabolism
Acropora_000652,2.2828565112724135,1.2989310350580483,NA,NA
Acropora_000670,1.9199891027122,1.5678047950862837,NA,NA
Acropora_000678,4.449484361222759,8.545249515873953,Ubiquitin family,"Posttranslational modification, protein turnover, chaperones"
Acropora_000683,5.30803164838289,7.281105066965567,pyroglutamyl-peptidase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_000684,12.459801696897847,5.572118753252156,NA,NA
Acropora_000690,2.084658491686356,4.439285936261449,"regulation of alternative mRNA splicing, via spliceosome",RNA processing and modification
Acropora_000703,-1.8889119024019705,-1.0109136418749585,primary heart field specification,Transcription
Acropora_000719,5.02085481951708,13.338528226850018,NA,NA
Acropora_000720,-1.3814738948086434,-1.0002079940832111,NA,NA
Acropora_000724,1.0858540147255196,-1.7724438459612086,NA,NA
Acropora_000735,2.4381632217172675,1.7901129016147124,NA,NA
Acropora_000753,-1.053611415448837,-2.067972463695313,negative regulation of smooth muscle cell differentiation,Transcription
Acropora_000758,-6.135483326135688,-1.4911825583574285,diacylglycerol binding,
Acropora_000759,1.4155330491629492,5.981611384457428,regulation of proteasomal ubiquitin-dependent protein catabolic process,Function Unknown
Acropora_000763,1.3369131146544981,1.0906957106716364,translation activator activity,RNA processing and modification
Acropora_000764,-7.0557437531922105,-22.45684962636883,NA,NA
Acropora_000778,-10.748596044568982,-8.358964692946977,microtubule motor activity,Cytoskeleton
Acropora_000779,-3.095462520957531,-1.1298485970967194,Cupin-like domain,
Acropora_000788,1.4096261289571175,2.714558271944581,L-methylmalonyl-CoA metabolic process,Carbohydrate transport and metabolism
Acropora_000798,2.782002756581376,2.9137335200787504,Belongs to the eukaryotic ribosomal protein eS6 family,"Translation, ribosomal structure and biogenesis"
Acropora_000799,1.2411549998161922,2.3484118627528736,maturation of 5.8S rRNA,"Translation, ribosomal structure and biogenesis"
Acropora_000839,16.595842431898568,19.21656916278952,betaine-homocysteine S-methyltransferase activity,Amino acid transport and metabolism
Acropora_000840,4.194986779391303,5.286013861233451,Tetratricopeptide repeat,"Posttranslational modification, protein turnover, chaperones"
Acropora_000841,1.901208386189601,1.555994079160298,Regulator of chromosome condensation (RCC1) repeat,
Acropora_000851,1.3332886851479209,6.808062295969702,Myb/SANT-like DNA-binding domain,"Posttranslational modification, protein turnover, chaperones"
Acropora_000862,-10.528542145159886,-5.379702747954117,"DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated",Transcription
Acropora_000866,2.461115773242634,5.962773380150787,Protein phosphatase inhibitor that specifically inhibits protein phosphatase 2A (PP2A) during mitosis,
Acropora_000868,-4.227146545309121,-8.120631382336077,Zinc ion binding,"Posttranslational modification, protein turnover, chaperones"
Acropora_000869,1.7325757437942568,5.134310910973374,intra-Golgi vesicle-mediated transport,Lipid transport and metabolism
Acropora_000873,-1.2245915945975965,-2.994502838283732,Integrase core domain,"Replication, recombination and repair"
Acropora_000877,-11.495058294022588,-11.790214227615316,skeletal muscle satellite cell commitment,Transcription
Acropora_000878,-5.525962692966338,-4.606676218710011,Paired box protein 7,Transcription
Acropora_000962,-5.3657867692143535,-12.371494896538662,NA,NA
Acropora_000976,3.934043210183032,5.915780826371328,-,
Acropora_000981,-2.5693195379968485,-7.42148572512811,Ras GTPase-activating-like protein IQGAP1,Cytoskeleton
Acropora_000997,5.51325515429971,10.635604986511693,UPF0369 protein,Function Unknown
Acropora_000999,-1.1097689292948065,-1.2183903655337096,regulation of embryonic development,Extracellular structures
Acropora_001004,-2.257180518942492,-3.360479357262475,NA,NA
Acropora_001043,1.0421550130775215,1.5829032293496033,NA,NA
Acropora_001079,2.4210151664889974,4.407826570528706,NA,NA
Acropora_001087,-1.2596702995283409,-3.165991592305067,NA,NA
Acropora_001090,-7.364580516721797,-1.8518953374294282,NA,NA
Acropora_001091,-6.119298795655618,-5.71023395631795,NA,NA
Acropora_001097,1.680294228146356,1.331795854828636,Pygopus homolog,Function Unknown
Acropora_001112,2.8645094584678503,1.750887853310215,Belongs to the universal ribosomal protein uS19 family,"Translation, ribosomal structure and biogenesis"
Acropora_001121,-4.416586111639731,-3.4959406489245497,negative regulation of cell adhesion involved in sprouting angiogenesis,Signal transduction mechanisms
Acropora_001124,1.0722235626021328,1.749662674548457,ubiquitin-dependent endocytosis,Amino acid transport and metabolism
Acropora_001127,-3.771412814517118,-6.183417446850324,NA,NA
Acropora_001133,2.3164328896833952,3.2012543519017505,Small nuclear ribonucleoprotein,RNA processing and modification
Acropora_001141,2.3064698663242704,1.8457277133846515,NA,NA
Acropora_001146,-3.2304553348331027,-1.1885731864647342,Protein tyrosine kinase,Signal transduction mechanisms
Acropora_001150,-1.033248695342669,-1.8755501095536082,"Transducer of regulated CREB activity, N terminus",Function Unknown
Acropora_001151,1.5137322386014957,3.7279988788595992,NA,NA
Acropora_001152,-7.34387313714559,-5.597909610273925,NA,NA
Acropora_001163,-2.359267384312395,-4.096835409577766,nuclear receptor co-repressor,Transcription
Acropora_001177,-3.1320707250238122,-5.896151053247342,NA,NA
Acropora_001179,2.30874251609356,3.999223638759323,NA,NA
Acropora_001180,-1.1493176873119202,-1.3398206564234112,NA,NA
Acropora_001182,6.32470092112066,15.09927894796454,NA,NA
Acropora_001187,2.820068344116912,8.577723656640122,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,Function Unknown
Acropora_001210,4.255051002239529,3.7701279520534037,7 transmembrane receptor (rhodopsin family),Function Unknown
Acropora_001211,2.115434534494978,4.3340835931772235,NA,NA
Acropora_001220,1.111666224254051,1.383402291006688,NA,NA
Acropora_001230,2.3287415582673154,5.250044832229749,NA,NA
Acropora_001242,1.450456601086816,2.5665238389872043,NA,NA
Acropora_001251,6.1170177390291665,4.5811725391256,CHY zinc finger,Function Unknown
Acropora_001253,3.6347730409196126,1.525558299232871,spindle assembly,Function Unknown
Acropora_001254,1.4502505098201544,7.120204963006013,synaptic vesicle cytoskeletal transport,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001258,9.60338587889002,12.798730216376672,ribosomal protein import into nucleus,
Acropora_001259,1.1978800355826222,1.313882481596636,ubiE/COQ5 methyltransferase family,"Secondary metabolites biosynthesis, transport and catabolism"
Acropora_001267,2.0173807492011733,1.0542031554246238,NA,NA
Acropora_001277,1.3838227783797474,4.167041928558299,heart development,Function Unknown
Acropora_001291,1.4789355628868366,2.47089361868477,NA,NA
Acropora_001293,3.2409702103744196,1.9910585533604575,NA,NA
Acropora_001294,-5.852528295550969,-8.408937468422499,NA,NA
Acropora_001296,4.040935697430316,11.55024556551421,cell surface receptor signaling pathway,Function Unknown
Acropora_001303,-1.9528293456653687,-2.00207215612254,NA,NA
Acropora_001315,2.5345032325793677,6.925880663147926,Aldehyde dehydrogenase 7 family member A1,Energy production and conversion
Acropora_001318,2.323995566571447,4.7995333248765535,NA,NA
Acropora_001323,1.6404223207598576,7.140113035844405,phosphatidylserine metabolic process,Function Unknown
Acropora_001331,-1.2814127278350953,-2.4924292445515315,NA,NA
Acropora_001338,1.3734070792909117,2.0567641743359544,stress-induced mitochondrial fusion,Energy production and conversion
Acropora_001360,-4.0426702401381815,-4.231962274866971,heavy chain,Cytoskeleton
Acropora_001361,5.750986670580241,6.025881249263291,B cell affinity maturation,Signal transduction mechanisms
Acropora_001378,1.2207157935312565,3.6035158178696496,calcium-dependent cysteine-type endopeptidase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_001385,3.7020352867908675,4.2669380913268595,NA,NA
Acropora_001409,2.632438093197511,4.170115916969933,NA,NA
Acropora_001424,1.3544744433960507,3.2946079696591766,Ribonuclease H protein,Amino acid transport and metabolism
Acropora_001435,-7.414144211600358,-4.126730523674669,NA,NA
Acropora_001437,1.2869498147706455,2.4655222976908298,GTP binding,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001439,6.058252505839094,9.117946668699542,NADH dehydrogenase ubiquinone iron-sulfur protein 4,Energy production and conversion
Acropora_001440,4.140606305524398,1.449953424037538,NA,NA
Acropora_001441,-1.4635351797051697,-1.5235831369727728,"transposition, RNA-mediated","Replication, recombination and repair"
Acropora_001458,3.2490700807480213,1.8853155851354488,DDE superfamily endonuclease,"Replication, recombination and repair"
Acropora_001498,1.6011222533791833,2.6071726767474623,NA,NA
Acropora_001502,-4.492863652386485,1.5887680902355192,NA,NA
Acropora_001504,2.691383904294,3.4000977690811687,-,
Acropora_001511,-1.230209256512193,-1.533679796640149,Milk fat globule-EGF factor 8 protein,Signal transduction mechanisms
Acropora_001514,1.3625812286484766,3.3342366283628415,GTPase-activating protein,Signal transduction mechanisms
Acropora_001516,8.307996345370455,13.049291140724538,structural constituent of ribosome,"Translation, ribosomal structure and biogenesis"
Acropora_001518,-1.58783184512543,-1.2248884622609262,"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific",Function Unknown
Acropora_001523,-9.489130788795812,-7.154382830734949,NA,NA
Acropora_001524,-5.785137504800813,-5.894643797872972,NA,NA
Acropora_001526,-6.477018038940162,-3.621222871304521,NA,NA
Acropora_001528,-20.177676106338424,-12.696759234639936,NA,NA
Acropora_001530,-4.822860438880135,-3.4434935391098938,"homolog, subfamily A, member","Posttranslational modification, protein turnover, chaperones"
Acropora_001534,-1.6805119507264585,-1.9207607027301192,NA,NA
Acropora_001538,3.0936184207960937,-1.1677483541724754,"Crystallin, zeta (quinone reductase)",Energy production and conversion
Acropora_001580,1.1507300686448259,4.158442803297264,NA,NA
Acropora_001581,-2.3940575606572256,-15.670634284606107,NA,NA
Acropora_001590,-1.3544744433960507,-1.8668050531581415,Tnf receptor-associated factor 2,"Posttranslational modification, protein turnover, chaperones"
Acropora_001598,-2.983140836558545,-1.6040768937862218,NA,NA
Acropora_001602,-19.51708562637167,5.665254306793253,Belongs to the heat shock protein 70 family,"Posttranslational modification, protein turnover, chaperones"
Acropora_001603,-1.2496077162563592,-2.1485055537792133,Ring finger and WD repeat domain 2,Function Unknown
Acropora_001610,2.4940225539032754,4.411273761872032,CD4 receptor binding,Function Unknown
Acropora_001616,-2.6789797415409593,-2.4655222976908298,medium-chain fatty acid-CoA ligase activity,Lipid transport and metabolism
Acropora_001632,-1.175356547686629,-2.6345008701075243,NA,NA
Acropora_001634,-2.3004409297779067,-4.622108563800705,intracellular chloride channel activity,"Cell cycle control, cell division, chromosome partitioning"
Acropora_001635,2.1818540638602726,2.518797587566125,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,Carbohydrate transport and metabolism
Acropora_001642,3.6254114810366325,1.3390824382234854,NA,NA
Acropora_001644,-1.4948163455994294,-1.6706095183061576,NA,NA
Acropora_001645,1.9550488751330297,5.268767933259057,HIstidiNe Triad nucleotide-binding protein,Signal transduction mechanisms
Acropora_001647,9.638240597595809,17.271470925208618,fatty acid beta-oxidation using acyl-CoA dehydrogenase,Energy production and conversion
Acropora_001654,-1.9279587178283881,-2.601387138220903,Low density lipoprotein receptor-related protein 4,Signal transduction mechanisms
Acropora_001656,-2.5171319657915836,-2.8538371921148764,NA,NA
Acropora_001657,-5.5894588002310135,-7.249985158940409,NA,NA
Acropora_001660,-1.360499928099787,-4.810720944825202,E3 ubiquitin-protein ligase,"Posttranslational modification, protein turnover, chaperones"
Acropora_001663,1.1023523575101657,1.537501153376463,NA,NA
Acropora_001665,-6.6187982058578685,-10.386124999984702,negative regulation of non-canonical Wnt signaling pathway,"Posttranslational modification, protein turnover, chaperones"
Acropora_001668,-1.4106966964033674,-1.9709818364563099,NA,NA
Acropora_001669,-4.151449839647135,-2.0760033011836154,Proline-rich coiled-coil,
Acropora_001670,3.7849780135479443,2.5142915028988,thyroid hormone transmembrane transporter activity,Carbohydrate transport and metabolism
Acropora_001673,9.131788929519054,9.241464969472826,procollagen galactosyltransferase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_001689,-1.3505289347907663,-4.083071456624237,regulation of mitotic cell cycle,"Posttranslational modification, protein turnover, chaperones"
Acropora_001694,-1.0618347214878243,-4.439481767861605,regulation of mitotic cell cycle,"Posttranslational modification, protein turnover, chaperones"
Acropora_001707,8.263456758403006,3.501723351916318,NA,NA
Acropora_001716,-11.301577105647988,-3.8364083606738686,DNA repair protein RAD50,"Replication, recombination and repair"
Acropora_001719,-1.4636134625112536,-1.0559680872013886,NA,NA
Acropora_001720,-4.706701187348798,-2.7110235589417244,NA,NA
Acropora_001723,-6.063806747884833,-4.033701441483228,NA,NA
Acropora_001725,-1.508511289302863,-1.1819569860527241,serine-type endopeptidase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_001727,-1.257501015158869,-1.1823331763398017,G-protein coupled receptor activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_001731,1.2464397514133705,5.876535425660932,metalloendopeptidase activity,"Posttranslational modification, protein turnover, chaperones"
Acropora_001734,1.0675335890504631,1.6907351659421022,NA,NA
Acropora_001747,-3.3359626698465235,-1.777031145196843,NA,NA
Acropora_001754,-5.035598263876139,-1.1988236210662813,WWE domain,Function Unknown
Acropora_001765,-1.5576275698086761,-4.9977389827574195,TCDD-inducible poly ADP-ribose polymerase,Function Unknown
Acropora_001770,-2.8915137128998283,-5.771114072219766,Poly (ADP-ribose) polymerase,Function Unknown
Acropora_001775,1.4227344546994876,2.707260976725772,Zinc ion binding,"Posttranslational modification, protein turnover, chaperones"
Acropora_001777,-8.778361041665086,-3.4782847484847097,NA,NA
Acropora_001779,-2.659436240260599,-2.4356542991899333,Transcription factor,Transcription
Acropora_001782,-2.090974286765258,-2.840347729036296,Belongs to the protein kinase superfamily. RIO-type Ser Thr kinase family,
Acropora_001786,-1.7069797149832406,-2.059884146119332,GTP binding,
Acropora_001789,2.360004768980233,2.8353931877876732,store-operated calcium channel activity,
Acropora_001793,1.6647959962492054,8.677378771972874,It is involved in the biological process described with,"Posttranslational modification, protein turnover, chaperones"
Acropora_001802,2.1378254985085694,3.636309210725769,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,
Acropora_001803,-8.290137283398014,-3.831277123984696,NA,NA
Acropora_001833,1.5410107354620692,2.665750787180851,gamma-butyrobetaine dioxygenase activity,Lipid transport and metabolism
Acropora_001837,2.04882924324815,3.9258883063129093,gamma-butyrobetaine dioxygenase activity,Lipid transport and metabolism
Acropora_001853,27.01978233477069,11.226063039969555,NA,NA
Acropora_001857,1.0880243848821323,-2.0140474400180235,NA,NA
Acropora_001859,-1.0910035700566914,2.4411001756820356,vesicle fusion with Golgi apparatus,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001864,-9.234051974117902,-14.484262970367922,Ion transport protein,
Acropora_001868,1.3159995285769492,1.2211814749288294,sulfiredoxin activity,"Replication, recombination and repair"
Acropora_001870,-6.540248796670583,-4.130273338479554,NA,NA
Acropora_001872,1.3771233967040875,5.539384382237422,"retrograde vesicle-mediated transport, Golgi to ER",Function Unknown
Acropora_001873,-2.3181758235543737,-1.8730608721737276,"C-abl oncogene 1, receptor tyrosine kinase",Signal transduction mechanisms
Acropora_001876,3.238870695500035,3.2709648375998204,pre-mRNA 3'-splice site binding,Signal transduction mechanisms
Acropora_001877,-3.001268523196558,-2.6676875109303353,NA,NA
Acropora_001907,2.6963138521046317,2.704640284838731,fatty-acyl-CoA binding,Lipid transport and metabolism
Acropora_001909,4.419727341595453,6.7647560704487635,protein tag,"Posttranslational modification, protein turnover, chaperones"
Acropora_001914,1.749779193546739,5.596137169242673,NA,NA
Acropora_001915,-1.1040991424963613,-1.7553249325007187,leucine-rich repeat and IQ domain-containing protein 3,Signal transduction mechanisms
Acropora_001929,-5.278579914568601,-4.6134335114805625,factor 38B,"Posttranslational modification, protein turnover, chaperones"
Acropora_001938,-2.0144816667000347,-2.091308447247859,NA,NA
Acropora_001940,-9.608130660199087,-3.3007103322887366,NA,NA
Acropora_001946,1.1936594801627305,2.31362181069736,lysosomal lumen pH elevation,Function Unknown
Acropora_001949,-6.361392417810354,-7.007382841317405,NA,NA
Acropora_001959,2.292904658602537,1.0903093086322824,glycine import into mitochondrion,Energy production and conversion
Acropora_001965,4.714842395274999,7.2113723267552405,cotranslational protein targeting to membrane,"Intracellular trafficking, secretion, and vesicular transport"
Acropora_001970,-4.616459542288024,-4.062590138422506,amyloid-beta binding,Function Unknown
Acropora_001971,-4.266634321888302,-7.229795496543708,NA,NA
Acropora_001981,-2.2385312820463725,-4.266807904005251,NA,NA
Acropora_001983,1.244682170951558,3.780672492843646,ubiquitin protein ligase binding,Function Unknown
Acropora_001992,-5.552554561971195,-6.560448608822891,Cilia and flagella associated protein 53,Function Unknown
Acropora_001997,-4.260596340421989,-2.212809090783393,NA,NA
Acropora_002000,-2.270467819269596,-6.890236683614219,NA,NA
Acropora_002001,2.8190369046145034,3.187186823597972,clathrin heavy chain binding,Signal transduction mechanisms
Acropora_002009,1.3880282104352182,1.6774058213696297,NA,NA
