Species,Genotype,Sample ID,Date Sampled,Experiment phase,Treatment,RNA Qubit Date,Qubit RNA Sample Input Quantity (uL),RNA Broad Range Qubit Concentration (ng/uL),Nanodrop Date (RNA only),A-260,A-280,260/280,260/230,Nanodrop RNA concentration (ng/uL),File Sample Name,% GC,Average Read Length,Median Read Length,% Failed,Raw Reads (Million),Trimmed Reads (Million),Mapping Rate,,,,,,,,
Acer,BC-8b,110,3/22/22,Pre-treatment,variable,1/6/23,2,119,1/6/23,2.785,1.311,2.12,1.9,111.4,Acer-110_S59_L001_R1_001,44%,99 bp,100 bp,36%,12.8,,63.97%,,,,,,,,
Acer,MB-B,112,3/22/22,Pre-treatment,control,12/1/22,5,16.4,1/4/23,0.4573,0.2282,2,1.52,18.29,ACER-112_S69_L001_R1_001,45%,98 bp,100 bp,36%,12.9,,67.44%,,,,,,,,
Acer,SI-C,113,4/20/22,last day of treatment,variable,,,,1/12/23,0.841,0.396,2.12,1.75,33.62,Acer-113_S60_L001_R1_001,44%,98 bp,100 bp,36%,13.6,,68.33%,,,,,,,,
Acer,SI-C,114,4/20/22,last day of treatment,control,,,,1/12/23,1.173,0.563,2.08,1.85,46.93,Acer-114_S61_L001_R1_001,45%,97 bp,100 bp,36%,6.9,,64.91%,,,,,,,,
Acer,SI-C,123,4/20/22,last day of treatment,control,,,,1/12/23,0.92,0.434,2.12,1.68,36.8,Acer-123_S62_L001_R1_001,44%,99 bp,100 bp,36%,7.6,,67.13%,,,,,,,,
Acer,BC-8b,124,3/22/22,Pre-treatment,control,12/1/22,5,167,1/4/23,0.393,0.2071,1.9,1.4,15.72,ACER-124_S70_L001_R1_001,45%,98 bp,100 bp,36%,12.5,,65.74%,,,,,,,,
Acer,BC-8b,137,4/20/22,last day of treatment,variable,12/1/22,5,73.2,1/4/23,1.874,0.8858,2.12,1.82,74.96,Acer-137_S63_L001_R1_001,45%,99 bp,100 bp,36%,10,,73.33%,,,,,,,,
Acer,SI-C,139,3/22/22,Pre-treatment,variable,1/6/23,2,38.5,1/6/23,0.903,0.416,2.17,1.76,36.11,Acer-139_S64_L001_R1_001,44%,99 bp,100 bp,36%,16,,69.83%,,,,,,,,
Acer,SI-C,141,4/20/22,last day of treatment,variable,,,,1/12/23,1.035,0.496,2.09,1.79,41.41,Acer-141_S65_L001_R1_001,43%,99 bp,100 bp,36%,13.4,,71.51%,,,,,,,,
Acer,MB-B,143,4/20/22,last day of treatment,control,,,,1/12/23,1.648,0.799,2.06,1.94,65.94,Acer-143_S66_L001_R1_001,44%,98 bp,100 bp,36%,7.4,,73.85%,,,,,,,,
Acer,BC-8b,146,4/20/22,last day of treatment,control,,,,1/12/23,0.911,0.447,2.04,2.01,36.45,Acer-146_S67_L001_R1_001,45%,96 bp,100 bp,36%,7.2,,65.23%,,,,,,,,
Acer,MB-B,150,3/22/22,Pre-treatment,control,1/6/23,2,129,1/6/23,2.501,1.178,2.12,1.66,100.1,Acer-150_S68_L001_R1_001,43%,99 bp,100 bp,36%,9.5,,68.01%,,,,,,,,
Pcli,C,3,4/20/22,last day of treatment,control,12/1/22,5,122,1/4/23,4.007,1.895,2.11,1.57,160.3,Pcli-003_S71_L001_R1_001,44%,100 bp,100 bp,45%,12,,65.04%,,,,,,,,
Pcli,A,4,4/20/22,last day of treatment,control,,,,1/12/23,2.729,1.437,1.9,0.91,109.1,Pcli-004_S72_L001_R1_001,44%,100 bp,100 bp,45%,2.6,,66.62%,,,,,,,,
Pcli,B,6,4/20/22,last day of treatment,variable,,,,1/12/23,4.642,2.312,2.01,1.19,185.7,Pcli-006_S73_L001_R1_001,45%,100 bp,100 bp,45%,9.3,,63.69%,,,,,,,,
Pcli,A,8,4/20/22,last day of treatment,variable,,,,1/12/23,1.557,0.737,2.11,1.47,62.28,Pcli-008_S74_L001_R1_001,42%,100 bp,100 bp,45%,10.7,,72.31%,,,,,,,,
Pcli,A,11,3/22/22,Pre-treatment,variable,1/6/23,2,325,1/6/23,9.518,4.467,2.05,1.39,366.3,Pcli-011_S114_L001_R1_001,44%,100 bp,100 bp,45%,0.4,,65.57%,,,,,,,,
Pcli,C,15,4/20/22,last day of treatment,variable,12/1/22,5,too low :(,1/4/23,7.414,3.574,2.07,1.3,296.5,Pcli-015_S75_L001_R1_001,44%,100 bp,100 bp,45%,3.6,,64.80%,,,,,,,,
Pcli,C,18,4/20/22,last day of treatment,variable,,,,1/12/23,3.313,1.647,2.01,1.13,132.5,Pcli-018_S76_L001_R1_001,44%,100 bp,100 bp,45%,3.8,,67.11%,,,,,,,,
Pcli,B,24,4/20/22,last day of treatment,control,,,,1/12/23,3.634,1.759,2.07,1.39,145.4,Pcli-024_S77_L001_R1_001,43%,100 bp,100 bp,45%,16.5,,64.82%,,,,,,,,
Pcli,A,26,3/22/22,Pre-treatment,control,1/6/23,2,295,1/6/23,8.791,4.163,2.11,1.62,351.6,Pcli-026_S78_L001_R1_001,43%,100 bp,100 bp,45%,19,,66.17%,,,,,,,,
Pcli,C,28,3/22/22,Pre-treatment,control,12/1/22,2,230,1/4/23,7.245,3.421,2.12,1.68,289.8,Pcli-028_S79_L001_R1_001,43%,100 bp,100 bp,45%,15.3,,64.11%,,,,,,,,
Pcli,B,29,3/22/22,Pre-treatment,control,12/1/22,5,143,1/4/23,4.203,1.976,2.13,1.65,168.1,Pcli-029_S80_L001_R1_001,44%,100 bp,100 bp,45%,14.8,,60.62%,,,,,,,,
Pcli,A,33,3/22/22,Pre-treatment,control,,,,1/12/23,5.093,2.405,2.12,1.62,203.7,Pcli-033_S81_L001_R1_001,43%,100 bp,100 bp,45%,18.2,,68.36%,,,,,,,,
Pcli,C,38,4/20/22,last day of treatment,control,12/1/22,5,118,1/4/23,4.117,1.896,2.17,1.65,164.7,Pcli-038_S82_L001_R1_001,44%,100 bp,100 bp,45%,11.5,,64.78%,,,,,,,,
Pcli,C,39,4/20/22,last day of treatment,variable,,,,1/12/23,3.204,1.569,2.04,1.22,128.1,Pcli-039_S83_L001_R1_001,43%,100 bp,100 bp,45%,2.9,,65.02%,,,,,,,,
Pcli,C,40,3/22/22,Pre-treatment,variable,1/6/23,2,241,1/6/23,7.436,3.626,2.05,1.34,297.4,Pcli-040_S84_L001_R1_001,44%,100 bp,100 bp,45%,8.9,,63.04%,,,,,,,,
Pcli,B,45,3/22/22,Pre-treatment,variable,,,,1/12/23,3.751,1.945,1.93,0.98,150,Pcli-045_S85_L001_R1_001,44%,100 bp,100 bp,45%,1.7,,62.30%,,,,,,,,
Pcli,B,49,4/20/22,last day of treatment,control,,,,1/12/23,2.299,1.206,1.91,0.9,91.95,Pcli-049_S86_L001_R1_001,43%,100 bp,100 bp,45%,11.4,,64.09%,,,,,,,,
Pcli,A,50,4/20/22,last day of treatment,control,12/1/22,5,182,1/4/23,5.816,2.767,2.1,1.62,232.6,Pcli-050_S87_L001_R1_001,43%,100 bp,100 bp,45%,10.2,,68.01%,,,,,,,,
Pcli,B,52,3/22/22,Pre-treatment,control,1/6/23,2,371,1/6/23,11.03,5.298,2.08,1.63,441.2,Pcli-052_S88_L001_R1_001,43%,100 bp,100 bp,45%,20.8,,62.25%,,,,,,,,
Pcli,B,55,3/22/22,Pre-treatment,control,,,,1/12/23,2.362,1.25,1.89,0.9,94.49,Pcli-055_S89_L001_R1_001,44%,100 bp,100 bp,45%,2.7,,59.90%,,,,,,,,
Pcli,A,58,4/20/22,last day of treatment,control,,,,1/12/23,2.695,1.423,1.89,0.87,107.8,Pcli-058_S90_L001_R1_001,44%,100 bp,100 bp,45%,1.2,,70.35%,,,,,,,,
Pcli,C,64,4/20/22,last day of treatment,control,,,,1/12/23,2.326,1.297,1.79,0.69,93.04,Pcli-064_S91_L001_R1_001,44%,100 bp,100 bp,45%,1,,65.26%,,,,,,,,
Pcli,B,66,4/20/22,last day of treatment,control,,,,1/12/23,2.142,1.239,1.73,0.64,85.66,Pcli-066_S92_L001_R1_001,43%,100 bp,100 bp,45%,0.6,,64.05%,,,,,,,,
Pcli,C,67,3/22/22,Pre-treatment,variable,,,,1/12/23,2.533,1.38,1.84,0.77,101.3,Pcli-067_S93_L001_R1_001,44%,100 bp,100 bp,45%,4.2,,61.71%,,,,,,,,
Pcli,A,69,4/20/22,last day of treatment,control,,,,1/12/23,3.688,1.925,1.92,0.92,147.5,Pcli-069_S94_L001_R1_001,43%,100 bp,100 bp,45%,1.5,,69.69%,,,,,,,,
Pcli,B,70,3/22/22,Pre-treatment,control,1/6/23,2,263,1/6/23,7.468,3.496,2.14,1.67,298.7,Pcli-070_S95_L001_R1_001,43%,100 bp,100 bp,45%,14.7,,59.48%,,,,,,,,
Pcli,A,75,3/22/22,Pre-treatment,variable,1/6/23,2,247,1/6/23,7.562,3.507,2.16,1.81,302.5,Pcli-075_S96_L001_R1_001,44%,100 bp,100 bp,45%,16.6,,65.27%,,,,,,,,
Pcli,C,76,4/20/22,last day of treatment,variable,,,,1/12/23,2.914,1.442,2.02,1.16,116.6,Pcli-076_S97_L001_R1_001,44%,100 bp,100 bp,45%,3.7,,69.18%,,,,,,,,
Pcli,A,77,3/22/22,Pre-treatment,variable,12/1/22,5,189,1/4/23,5.935,2.801,2.12,1.74,237.4,Pcli-077_S98_L001_R1_001,44%,100 bp,100 bp,45%,9.3,,65.73%,,,,,,,,
Pcli,B,79,4/20/22,last day of treatment,variable,,,,1/12/23,3.121,1.748,1.79,0.72,124.8,Pcli-079_S99_L001_R1_001,43%,100 bp,100 bp,45%,3.7,,65.99%,,,,,,,,
Pcli,C,91,3/22/22,Pre-treatment,control,,,,1/12/23,3.111,1.588,1.96,0.99,124.5,Pcli-091_S100_L001_R1_001,43%,100 bp,100 bp,45%,9.8,,62.47%,,,,,,,,
Pcli,C,94,3/22/22,Pre-treatment,variable,1/6/23,2,280,1/6/23,7.996,3.788,2.11,1.56,319.9,Pcli-094_S101_L001_R1_001,43%,100 bp,100 bp,45%,10.7,,63.62%,,,,,,,,
Pcli,B,96,4/20/22,last day of treatment,variable,,,,1/12/23,2.371,1.24,1.91,0.91,94.84,Pcli-096_S102_L001_R1_001,43%,100 bp,100 bp,45%,9.9,,62.54%,,,,,,,,
Pcli,A,101,4/20/22,last day of treatment,variable,,,,1/12/23,3.75,1.932,1.94,1.04,150,Pcli-101_S103_L001_R1_001,43%,100 bp,100 bp,45%,3.2,,66.37%,,,,,,,,
Pcli,C,103,3/22/22,Pre-treatment,variable,1/6/23,2,244,1/6/23,6.75,3.18,2.12,1.61,270,Pcli-103_S104_L001_R1_001,43%,100 bp,100 bp,45%,9.5,,61.35%,,,,,,,,
Pcli,B,105,3/22/22,Pre-treatment,variable,12/1/22,5,192,1/4/23,6.04,2.802,2.16,2,241.6,Pcli-105_S105_L001_R1_001,44%,100 bp,100 bp,45%,16.3,,61.43%,,,,,,,,
Pcli,B,109,4/20/22,last day of treatment,variable,12/1/22,5,193,1/4/23,7.825,3.617,2.16,1.95,313,Pcli-109_S106_L001_R1_001,44%,100 bp,100 bp,45%,15.8,,62.81%,,,,,,,,
Pcli,A,111,3/22/22,Pre-treatment,control,,,,1/12/23,3.871,1.879,2.06,1.34,154.8,Pcli-111_S107_L001_R1_001,44%,100 bp,100 bp,45%,10.9,,68.47%,,,,,,,,
Pcli,B,114,3/22/22,Pre-treatment,variable,12/1/22,5,28.6,1/4/23,1.039,0.546,1.9,0.82,41.56,Pcli-114_S108_L001_R1_001,43%,100 bp,100 bp,45%,0.5,,62.22%,,,,,,,,
Pcli,C,115,3/22/22,Pre-treatment,control,,,,1/12/23,5.121,2.455,2.09,1.45,204.8,Pcli-115_S109_L001_R1_001,43%,100 bp,100 bp,45%,10.6,,64.07%,,,,,,,,
Pcli,B,120,3/22/22,Pre-treatment,variable,1/6/23,2,223,1/6/23,6.963,3.241,2.15,1.72,278.5,Pcli-120_S110_L001_R1_001,43%,100 bp,100 bp,45%,20.2,,60.21%,,,,,,,,
Pcli,B,124,4/20/22,last day of treatment,control,12/1/22,5,232,1/4/23,10.46,5.021,2.08,1.72,418.2,Pcli-124_S115_L001_R1_001,43%,100 bp,100 bp,45%,2.9,,62.71%,,,,,,,,
Pcli,A,126,3/22/22,Pre-treatment,control,,,,1/12/23,6.23,2.879,2.16,1.82,249.2,Pcli-126_S111_L001_R1_001,43%,100 bp,100 bp,45%,19.8,,63.79%,,,,,,,,
Pcli,A,128,3/22/22,Pre-treatment,variable,12/1/22,5,115,1/4/23,3.95,1.816,2.18,2.04,158,Pcli-128_S116_L001_R1_001,44%,100 bp,100 bp,45%,23,,65.80%,,,,,,,,
Pcli,A,130,4/20/22,last day of treatment,variable,,,,1/12/23,5.157,2.452,2.1,1.53,206.3,Pcli-130_S117_L001_R1_001,44%,100 bp,100 bp,45%,23.4,,69.77%,,,,,,,,
Pcli,A,132,4/20/22,last day of treatment,variable,,,,1/12/23,4.33,2.172,1.99,1.07,173.2,Pcli-132_S118_L001_R1_001,44%,100 bp,100 bp,45%,0.5,,68.45%,,,,,,,,
Pcli,C,135,4/20/22,last day of treatment,control,,,,1/12/23,2.529,1.299,1.95,1.01,101.1,Pcli-135_S112_L001_R1_001,43%,100 bp,100 bp,45%,3.4,,65.99%,,,,,,,,
Pcli,C,148,3/22/22,Pre-treatment,control,,,,1/12/23,3.699,1.772,2.09,1.47,148,Pcli-148_S113_L001_R1_001,,100 bp,100 bp,45%,15,,63.69%,,,,,,,,
