Puck,Colony,Treatment,Species,fvfm,CBASS_temp
P147,C,Untreated,Pclivosa,0.493,30
P24,B,Untreated,Pclivosa,0.516,30
P49,B,Untreated,Pclivosa,0.509,33
P127,A,Untreated,Pclivosa,0.18,37
P80,C,Untreated,Pclivosa,0.489,28
P34,A,Untreated,Pclivosa,0.477,28
P73,B,Untreated,Pclivosa,0.194,37
P58,A,Untreated,Pclivosa,0.475,35
P116,A,Untreated,Pclivosa,0.16,37
P36,C,Untreated,Pclivosa,0.46,30
P44,C,Untreated,Pclivosa,0.488,32
P16,A,Untreated,Pclivosa,0.488,32
P131,C,Untreated,Pclivosa,0.229,36
A24,MB-B,Treated,Acervicornis,0.539,34
A96,SI-C,Treated,Acervicornis,0.525,28
A83,MB-B,Treated,Acervicornis,0.572,33
A109,BC-8b,Treated,Acervicornis,0.544,33
A137,BC-8b,Treated,Acervicornis,0.507,32
A9,BC-8b,Treated,Acervicornis,0.575,35
A71,MB-B,Treated,Acervicornis,0.601,33
A55,MB-B,Treated,Acervicornis,0.523,28
A129,MB-B,Treated,Acervicornis,0.53,32
A19,BC-8b,Treated,Acervicornis,0.106,37
A64,SI-C,Treated,Acervicornis,0.475,33
A41,MB-B,Treated,Acervicornis,0.514,35
P50,A,Untreated,Pclivosa,0.466,33
P123,C,Untreated,Pclivosa,0.249,36
P82,C,Untreated,Pclivosa,0.435,28
P61,A,Untreated,Pclivosa,0.466,32
P124,B,Untreated,Pclivosa,0.494,32
P12,B,Untreated,Pclivosa,0.48,35
A99,BC-8b,Treated,Acervicornis,0.533,32
A141,SI-C,Treated,Acervicornis,0.506,34
A27,BC-8b,Treated,Acervicornis,0.511,28
A40,BC-8b,Treated,Acervicornis,0.52,32
A132,MB-B,Treated,Acervicornis,0.535,35
A28,MB-B,Treated,Acervicornis,0.35,36
A111,MB-B,Treated,Acervicornis,0.569,28
A139,SI-C,Treated,Acervicornis,0.497,28
A149,SI-C,Treated,Acervicornis,0.501,35
A30,BC-8b,Treated,Acervicornis,0.599,33
A88,MB-B,Treated,Acervicornis,0.539,35
A134,BC-8b,Treated,Acervicornis,0.511,28
A36,MB-B,Treated,Acervicornis,0.17,37
A122,BC-8b,Treated,Acervicornis,0.522,34
A73,MB-B,Treated,Acervicornis,0.307,36
A142,BC-8b,Treated,Acervicornis,0.258,36
A11,SI-C,Treated,Acervicornis,0.525,30
A20,SI-C,Treated,Acervicornis,0.464,32
A90,MB-B,Untreated,Acervicornis,0.456,34
A67,SI-C,Untreated,Acervicornis,0.424,35
A140,MB-B,Untreated,Acervicornis,0.454,30
A63,BC-8b,Untreated,Acervicornis,0.502,28
A143,MB-B,Untreated,Acervicornis,0.153,37
A46,SI-C,Untreated,Acervicornis,0.388,33
A26,BC-8b,Untreated,Acervicornis,0.155,36
A53,MB-B,Untreated,Acervicornis,0.277,36
A1,MB-B,Untreated,Acervicornis,0.244,36
A3,BC-8b,Untreated,Acervicornis,0.476,30
A42,MB-B,Untreated,Acervicornis,0.14,37
A121,MB-B,Untreated,Acervicornis,0.468,28
A48,SI-C,Untreated,Acervicornis,0.117,37
A72,BC-8b,Untreated,Acervicornis,0.509,34
A43,BC-8b,Untreated,Acervicornis,0.455,28
A97,MB-B,Untreated,Acervicornis,0.452,35
A118,BC-8b,Untreated,Acervicornis,0.512,30
A138,BC-8b,Untreated,Acervicornis,0.1,37
A120,SI-C,Untreated,Acervicornis,0.39,28
A85,BC-8b,Untreated,Acervicornis,0.511,35
A78,SI-C,Untreated,Acervicornis,0.413,34
A105,BC-8b,Untreated,Acervicornis,0.501,33
A146,BC-8b,Untreated,Acervicornis,0.488,35
A116,MB-B,Untreated,Acervicornis,0.452,30
A51,BC-8b,Untreated,Acervicornis,0.192,36
A148,BC-8b,Untreated,Acervicornis,0.103,37
A106,SI-C,Untreated,Acervicornis,0.157,36
A102,MB-B,Untreated,Acervicornis,0.5,33
A95,SI-C,Untreated,Acervicornis,0.376,32
A14,SI-C,Untreated,Acervicornis,0.262,37
A123,SI-C,Untreated,Acervicornis,0.467,32
A35,MB-B,Untreated,Acervicornis,0.243,36
A6,MB-B,Untreated,Acervicornis,0.447,28
A80,BC-8b,Untreated,Acervicornis,0.505,32
A93,SI-C,Untreated,Acervicornis,0.44,28
A133,MB-B,Untreated,Acervicornis,0.457,28
P95,C,Untreated,Pclivosa,0.422,34
P72,C,Untreated,Pclivosa,0.142,37
P5,A,Untreated,Pclivosa,0.523,30
P66,B,Untreated,Pclivosa,0.356,36
P68,C,Untreated,Pclivosa,0.463,33
P3,C,Untreated,Pclivosa,0.382,35
A12,SI-C,Untreated,Acervicornis,0.432,30
A52,BC-8b,Untreated,Acervicornis,0.403,30
A31,SI-C,Untreated,Acervicornis,0.401,35
A128,BC-8b,Untreated,Acervicornis,0.428,28
A7,MB-B,Untreated,Acervicornis,0.414,30
A115,BC-8b,Untreated,Acervicornis,0.42,28
A82,SI-C,Untreated,Acervicornis,0.451,33
A33,MB-B,Untreated,Acervicornis,0.092,37
A89,BC-8b,Untreated,Acervicornis,0.121,37
A100,MB-B,Untreated,Acervicornis,0.471,32
A84,BC-8b,Untreated,Acervicornis,0.455,35
A150,MB-B,Untreated,Acervicornis,0.474,35
A56,MB-B,Untreated,Acervicornis,0.259,36
A87,SI-C,Untreated,Acervicornis,0.462,34
A70,BC-8b,Untreated,Acervicornis,0.43,33
A108,BC-8b,Untreated,Acervicornis,0.479,34
A34,SI-C,Untreated,Acervicornis,0.45,30
A23,SI-C,Untreated,Acervicornis,0.227,36
A5,SI-C,Untreated,Acervicornis,0.449,33
A75,MB-B,Untreated,Acervicornis,0.421,35
A22,BC-8b,Untreated,Acervicornis,0.454,32
A25,MB-B,Untreated,Acervicornis,0.46,33
A101,MB-B,Untreated,Acervicornis,0.49,34
A44,MB-B,Untreated,Acervicornis,0.441,33
A124,BC-8b,Untreated,Acervicornis,0.489,32
A57,MB-B,Untreated,Acervicornis,0.411,32
A119,SI-C,Untreated,Acervicornis,0.432,35
A39,MB-B,Untreated,Acervicornis,0.444,32
A114,SI-C,Untreated,Acervicornis,0.474,32
A92,BC-8b,Untreated,Acervicornis,0.472,34
A81,BC-8b,Untreated,Acervicornis,0.492,33
A112,MB-B,Untreated,Acervicornis,0.386,34
A74,MB-B,Treated,Acervicornis,0.498,33
A45,BC-8b,Treated,Acervicornis,0,37
A77,BC-8b,Treated,Acervicornis,0.496,33
A130,BC-8b,Treated,Acervicornis,0.441,30
A110,BC-8b,Treated,Acervicornis,0.515,35
A61,SI-C,Treated,Acervicornis,0.377,35
A131,SI-C,Treated,Acervicornis,0.423,30
A8,SI-C,Treated,Acervicornis,0.161,37
A65,MB-B,Treated,Acervicornis,0.473,32
A62,SI-C,Treated,Acervicornis,0.426,28
A113,SI-C,Treated,Acervicornis,0.278,36
A38,MB-B,Treated,Acervicornis,0.514,34
A54,MB-B,Treated,Acervicornis,0.133,37
A76,BC-8b,Treated,Acervicornis,0.175,36
A58,BC-8b,Treated,Acervicornis,0.106,37
A60,BC-8b,Treated,Acervicornis,0.441,34
A68,BC-8b,Treated,Acervicornis,0.489,34
A69,SI-C,Treated,Acervicornis,0.218,36
A94,MB-B,Treated,Acervicornis,0.475,30
A29,SI-C,Treated,Acervicornis,0.402,32
A32,BC-8b,Treated,Acervicornis,0.549,30
A125,BC-8b,Treated,Acervicornis,0.403,28
A79,SI-C,Treated,Acervicornis,0.456,33
A13,MB-B,Treated,Acervicornis,0.501,30
P13,A,Untreated,Pclivosa,0.392,28
P122,B,Untreated,Pclivosa,0.478,30
P91,C,Untreated,Pclivosa,0.434,28
P57,A,Untreated,Pclivosa,0.183,37
P148,C,Untreated,Pclivosa,0.417,32
P26,A,Untreated,Pclivosa,0.506,33
A103,MB-B,Treated,Acervicornis,0.126,37
A145,BC-8b,Treated,Acervicornis,0.279,36
A21,MB-B,Treated,Acervicornis,0.498,32
A91,BC-8b,Treated,Acervicornis,0.492,30
A117,SI-C,Treated,Acervicornis,0.1,37
A4,MB-B,Treated,Acervicornis,0.486,34
P33,A,Untreated,Pclivosa,0.413,34
P7,A,Untreated,Pclivosa,0.448,28
P146,B,Untreated,Pclivosa,0.451,34
P30,A,Untreated,Pclivosa,0.457,34
P29,B,Untreated,Pclivosa,0.469,32
P17,C,Untreated,Pclivosa,0.369,35
P38,C,Untreated,Pclivosa,0.162,37
P120,B,Treated,Pclivosa,0.475,35
P25,A,Treated,Pclivosa,0.451,35
P53,A,Treated,Pclivosa,0.13,37
P21,A,Treated,Pclivosa,0.478,28
P106,C,Treated,Pclivosa,0.282,36
P22,C,Treated,Pclivosa,0.487,33
P103,C,Treated,Pclivosa,0.415,35
P90,B,Treated,Pclivosa,0.443,30
P114,B,Treated,Pclivosa,0.482,28
P31,C,Treated,Pclivosa,0.159,37
A147,BC-8b,Treated,Acervicornis,0.556,35
A59,MB-B,Treated,Acervicornis,0.342,36
A86,SI-C,Untreated,Acervicornis,0,37
A104,BC-8b,Untreated,Acervicornis,0.23,36
A107,SI-C,Treated,Acervicornis,0.307,36
P142,A,Untreated,Pclivosa,0.464,30
