delta.rank,pval,level,nseqs,term,name,p.adj,GO_category
-432,3.78785915178575e-7,5,426,GO:0016604,nuclear body,1.21053665392486e-5,CC
-618,5.29437025823802e-8,2,231,GO:0016607,nuclear speck,2.53798874254285e-6,CC
-700,0.00247508692993847,2,54,GO:0017053,transcriptional repressor complex,0.0223340197089742,CC
922,1.33177174719153e-19,2,291,GO:0019866;GO:0005743,organelle inner membrane,5.10734465047952e-17,CC
-628,1.75193410965881e-4,2,104,GO:0019897,extrinsic component of plasma membrane,0.00292115970023545,CC
1275,1.50605659581641e-7,2,49,GO:0022625,cytosolic large ribosomal subunit,5.50069242376755e-6,CC
1105,1.46213994914498e-9,4,87,GO:0022626,cytosolic ribosome,8.62662569995538e-8,CC
1100,2.46147638261958e-4,2,32,GO:0022627,cytosolic small ribosomal subunit,0.00375407834029587,CC
-415,0.00550412180764792,2,131,GO:0030016;GO:0030017,myofibril,0.0405928983314034,CC
-600,7.41718024617877e-4,2,92,GO:0030027,lamellipodium,0.00923444632358351,CC
-465,1.61512806327496e-6,1,323,GO:0030054,cell junction,4.42429723047105e-5,CC
-976,7.96874020362574e-4,2,34,GO:0030286,dynein complex,0.00970162497806499,CC
-463,6.24638998965685e-8,2,422,GO:0030424,axon,2.81822418945106e-6,CC
-279,0.00159667830498973,4,393,GO:0030425;GO:0097447,dendritic tree,0.0161138455253569,CC
-449,0.00279309070532408,2,130,GO:0030426;GO:0030427,site of polarized growth,0.0232858757715605,CC
1228,0.00374873705625708,4,16,GO:0030894;GO:0043601,replisome,0.0299508471057206,CC
-345,0.00337168613636294,2,214,GO:0031252,cell leading edge,0.0275115241126636,CC
1938,0.00504844880617773,2,6,GO:0031261,DNA replication preinitiation complex,0.0381422236068507,CC
348,0.00154793539677937,2,248,GO:0031301;GO:0031300,intrinsic component of organelle membrane,0.0159720185977758,CC
1148,0.00190662462611659,2,21,GO:0031304;GO:0031305,intrinsic component of mitochondrial inner membrane,0.0182797636028928,CC
-701,5.54014620073087e-6,2,123,GO:0031514,motile cilium,1.33448250904717e-4,CC
-716,1.16845626516027e-4,2,84,GO:0031594,neuromuscular junction,0.00203683171676802,CC
444,1.06492571687843e-10,2,685,GO:0031967;GO:0031975,organelle envelope,9.07553360939729e-9,CC
-814,4.11150435030531e-8,3,133,GO:0032279;GO:0098984;GO:0014069;GO:0099572,neuron to neuron synapse,2.10234922445611e-6,CC
1744,0.00113128756069223,2,10,GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain",0.0133491932161683,CC
-488,5.56759325808466e-6,3,259,GO:0033267;GO:0150034,axon part,1.33448250904717e-4,CC
-538,0.00130509664569686,4,104,GO:0036064,ciliary basal body,0.0145977611354331,CC
-557,0.00259867321257369,4,85,GO:0036126;GO:0097729,9+2 motile cilium,0.022910142000506,CC
-296,7.31379888556072e-5,2,569,GO:0036477,somatodendritic compartment,0.00140242093630627,CC
1877,4.56614651480966e-4,2,10,GO:0042555,MCM complex,0.0062539899586768,CC
-620,0.00187397731927484,4,73,GO:0042734,presynaptic membrane,0.0181941848592886,CC
1164,0.00213208569677728,4,20,GO:0042788,polysomal ribosome,0.0199428015783924,CC
-400,9.0448418937626e-7,2,470,GO:0043025;GO:0044297,cell body,2.77495749300637e-5,CC
-602,0.00147232183572044,2,81,GO:0043195,terminal bouton,0.0156843173332997,CC
-712,1.23016515161953e-5,2,110,GO:0043197;GO:0044309,neuron spine,2.6958190608348e-4,CC
-702,8.80123850318793e-4,2,65,GO:0043204,perikaryon,0.0105477342686643,CC
-443,0.00129516849329749,3,155,GO:0043292;GO:0044449,contractile fiber,0.0145977611354331,CC
934,0.00590755388286958,3,25,GO:0043596,nuclear replication fork,0.0421354593293905,CC
-600,1.37489968691151e-4,2,118,GO:0043679;GO:0044306,neuron projection terminus,0.00234344013302473,CC
756,4.56045901811688e-25,3,596,GO:0044429,mitochondrial part,3.49787206689565e-22,CC
220,0.00126141004165349,3,695,GO:0044432;GO:0005789;GO:0042175;GO:0098827,endoplasmic reticulum part,0.0145977611354331,CC
305,0.00349777647664599,2,275,GO:0044437,vacuolar part,0.0282399427114471,CC
515,1.16175989389239e-4,2,165,GO:0044445,cytosolic part,0.00203683171676802,CC
-1497,2.68034858241576e-7,2,34,GO:0044447,axoneme part,8.93837983788212e-6,CC
-273,8.87113561696941e-5,2,666,GO:0044451,nucleoplasm part,0.00165955146785745,CC
1252,3.49734603380148e-16,2,124,GO:0044455,mitochondrial membrane part,6.70616101981434e-14,CC
-319,0.00145466215614781,2,300,GO:0045177,apical part of cell,0.0156843173332997,CC
-620,0.0041172503961539,2,62,GO:0045178,basal part of cell,0.0322237862637759,CC
-601,0.00507236871955511,3,63,GO:0045179;GO:0099738,cell cortex region,0.0381422236068507,CC
-488,3.12875366699878e-10,1,523,GO:0045202;GO:0044456,synapse,2.39975406258806e-8,CC
-711,1.01153547459105e-4,4,87,GO:0045211,postsynaptic membrane,0.00184725645002699,CC
-1811,7.20305937785561e-4,5,10,GO:0046691;GO:0098889;GO:0099056,integral component of presynaptic membrane,0.00923444632358351,CC
-355,1.82036802185069e-5,4,452,GO:0048471,perinuclear region of cytoplasm,3.87839520210966e-4,CC
-655,0.007004323145399,2,49,GO:0048786,presynaptic active zone,0.0488392350229185,CC
-544,0.00482467724250151,3,78,GO:0070160;GO:0043296,apical junction complex,0.0373790651009965,CC
-1340,5.69936556348598e-4,5,19,GO:0090568,nuclear transcriptional repressor complex,0.00766914629332236,CC
-609,2.98217459476876e-5,2,138,GO:0097060,synaptic membrane,6.18196733564227e-4,CC
-435,0.00593302426020101,2,117,GO:0097223,sperm part,0.0421354593293905,CC
-813,0.00245501894995117,2,40,GO:0097542,ciliary tip,0.0223340197089742,CC
-755,2.60248431864917e-6,2,113,GO:0097730,non-motile cilium,6.88312231863418e-5,CC
-700,0.00156180103628838,4,59,GO:0097731;GO:0097733,photoreceptor cell cilium,0.0159720185977758,CC
-368,7.36626824731246e-4,2,251,GO:0098552,side of membrane,0.00923444632358351,CC
1430,0.00232928221405819,2,13,GO:0098556,cytoplasmic side of rough endoplasmic reticulum membrane,0.0215248127491883,CC
950,2.89070550285673e-4,5,42,GO:0098573;GO:0032592,intrinsic component of mitochondrial membrane,0.00418334173715304,CC
-354,3.16035872486168e-6,2,547,GO:0098590,plasma membrane region,8.07998380656303e-5,CC
-378,2.54513785782771e-4,2,282,GO:0098793,presynapse,0.00375407834029587,CC
-556,1.13697879811327e-6,2,228,GO:0098794,postsynapse,3.35408745443415e-5,CC
1068,1.34805646099278e-15,2,165,GO:0098798,mitochondrial protein complex,2.06791861116292e-13,CC
1275,8.99152998944197e-11,2,75,GO:0098800,inner mitochondrial membrane protein complex,8.62062937737749e-9,CC
-567,0.00135069039765313,4,93,GO:0098858,actin-based cell projection,0.0147997076428564,CC
-1189,0.00657905801928718,2,15,GO:0099240;GO:0098936;GO:0099055;GO:0099699,intrinsic component of synaptic membrane,0.046294839456819,CC
-2227,1.9969725438698e-4,4,8,GO:0099522;GO:0099524,region of cytosol,0.00319099571072528,CC
-500,8.91981851048136e-8,3,348,GO:0099568,cytoplasmic region,3.4207503987696e-6,CC
-1269,0.00273620938495542,3,16,GO:1990124,messenger ribonucleoprotein complex,0.0230623362446243,CC
1285,4.74649136519479e-10,2,68,GO:1990204,oxidoreductase complex,3.30959897918582e-8,CC
1056,0.00312014354907335,3,25,GO:0000217,DNA secondary structure binding,0.0406732998361347,MF
-603,2.44713383448317e-10,3,373,GO:0000976;GO:0044212;GO:1990837;GO:0001067;GO:0000977;GO:0001012,regulatory region nucleic acid binding,8.59391877985955e-8,MF
-668,7.95614282289912e-7,8,179,GO:0000978;GO:0000987,proximal promoter sequence-specific DNA binding,7.25998032589545e-5,MF
-550,3.13933106113591e-10,2,448,GO:0000981;GO:0003700,DNA-binding transcription factor activity,8.59391877985955e-8,MF
-1200,6.20441362363001e-4,4,26,GO:0001046,core promoter sequence-specific DNA binding,0.0157996114369183,MF
-1027,4.81209047500179e-4,2,37,GO:0001047,core promoter binding,0.0127592495432907,MF
-1250,0.00103180797036718,2,22,GO:0001221,transcription cofactor binding,0.0206299446122399,MF
-1705,0.00415954389263155,3,9,GO:0001223,transcription coactivator binding,0.0484542613024633,MF
-806,3.86427506037589e-5,4,84,GO:0001227;GO:0001217,"DNA-binding transcription repressor activity, RNA polymerase II-specific",0.00184309723802516,MF
-532,2.69511036478534e-4,3,153,GO:0001228;GO:0001216,DNA-binding transcription activator activity,0.0086798407336469,MF
-293,0.00380096241845277,2,327,GO:0003682,chromatin binding,0.0452922050670118,MF
-444,4.03464373008738e-7,3,446,GO:0003690;GO:0043565,sequence-specific DNA binding,5.5224186055571e-5,MF
-363,0.00103620726362849,2,271,GO:0003712,transcription coregulator activity,0.0206299446122399,MF
-702,1.11155221398456e-4,2,98,GO:0003714,transcription corepressor activity,0.00450796175671516,MF
-615,0.00339949676633226,2,73,GO:0003727,single-stranded RNA binding,0.0426877855173429,MF
1147,2.95900706159038e-12,2,120,GO:0003735,structural constituent of ribosome,1.62005636622073e-9,MF
-825,7.55425071131973e-5,2,74,GO:0003774,motor activity,0.00318150174188273,MF
-1042,2.71513682723257e-5,3,52,GO:0003777,microtubule motor activity,0.00141574991705698,MF
2134,0.0033895407111309,2,6,GO:0003857,3-hydroxyacyl-CoA dehydrogenase activity,0.0426877855173429,MF
1471,6.54500386709451e-6,2,30,GO:0003954;GO:0008137;GO:0050136;GO:0016655,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",4.16030619972527e-4,MF
2038,0.00123684449918357,3,8,GO:0004129;GO:0015002;GO:0016676;GO:0016675,cytochrome-c oxidase activity,0.0215293204441285,MF
516,0.00136023167099713,2,125,GO:0004518,nuclease activity,0.0222374325224406,MF
631,0.00346960083200321,3,69,GO:0004519,endonuclease activity,0.0426877855173429,MF
769,0.00393807090073832,3,45,GO:0004536,deoxyribonuclease activity,0.0463676089925641,MF
643,0.00206463578228402,4,74,GO:0004553;GO:0016798,"hydrolase activity, acting on glycosyl bonds",0.0305435420981439,MF
-381,2.69262555472963e-4,3,306,GO:0004672,protein kinase activity,0.0086798407336469,MF
-436,4.52200000347253e-4,2,213,GO:0004674,protein serine/threonine kinase activity,0.0126963846251344,MF
-357,2.82995053501847e-6,2,606,GO:0005102,signaling receptor binding,1.93674739740327e-4,MF
474,1.20795105398207e-5,1,284,GO:0005198,structural molecule activity,6.61353202055183e-4,MF
-748,4.22053095573674e-8,3,176,GO:0005216;GO:0015267;GO:0022803;GO:0005261,passive transmembrane transporter activity,8.42375221115215e-6,MF
-1003,0.00211991707713145,2,30,GO:0005230,extracellular ligand-gated ion channel activity,0.0305435420981439,MF
-1393,6.73746335917663e-4,7,19,GO:0005231,excitatory extracellular ligand-gated ion channel activity,0.0159038807142237,MF
-2382,1.59488540123559e-4,2,8,GO:0005234;GO:0008068,extracellularly glutamate-gated ion channel activity,0.00602206729087231,MF
-1077,2.71114767792946e-6,4,61,GO:0005244;GO:0022832;GO:0022843,voltage-gated channel activity,1.93674739740327e-4,MF
-1698,0.00160884287312919,2,11,GO:0005248,voltage-gated sodium channel activity,0.0244678186955064,MF
-1427,6.48962560709242e-5,2,25,GO:0005249,voltage-gated potassium channel activity,0.00284245601590648,MF
-1923,0.00122419855377787,2,9,GO:0005251;GO:0086008;GO:0086087;GO:0086089;GO:0086090,delayed rectifier potassium channel activity,0.0215293204441285,MF
-1303,7.06079381629635e-6,5,38,GO:0005267,potassium channel activity,4.16030619972527e-4,MF
-757,9.69140134789685e-4,3,61,GO:0005516,calmodulin binding,0.0201101485530953,MF
-424,3.52248611255204e-4,3,235,GO:0005543,phospholipid binding,0.0104246548466067,MF
-816,0.00142872741958824,2,49,GO:0005546,"phosphatidylinositol-4,5-bisphosphate binding",0.022985909908969,MF
-1091,2.07365045857713e-4,3,37,GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate binding",0.00732466855529664,MF
-527,0.00118503622025292,5,123,GO:0008017,microtubule binding,0.0215293204441285,MF
-412,2.68295257514509e-6,2,445,GO:0008092,cytoskeletal protein binding,1.93674739740327e-4,MF
-378,3.87134579676518e-5,3,403,GO:0008134,transcription factor binding,0.00184309723802516,MF
513,0.0013409213127812,4,127,GO:0008168;GO:0016741;GO:0008757,"transferase activity, transferring one-carbon groups",0.0222374325224406,MF
-988,0.00343987582095924,4,28,GO:0008200;GO:0016248,channel inhibitor activity,0.0426877855173429,MF
542,0.00117234410600399,2,116,GO:0008514,organic anion transmembrane transporter activity,0.0215293204441285,MF
1258,5.38504707562238e-8,3,60,GO:0009055,electron transfer activity,8.42375221115215e-6,MF
750,0.00119369094125327,2,60,GO:0015078,proton transmembrane transporter activity,0.0215293204441285,MF
-809,4.22386577712076e-4,2,61,GO:0015079,potassium ion transmembrane transporter activity,0.0121714026998611,MF
-1716,1.97859772388703e-4,4,15,GO:0015271,outward rectifier potassium channel activity,0.00722188169218766,MF
-755,6.8263232289362e-4,4,65,GO:0015276;GO:0022834,ligand-gated channel activity,0.0159038807142237,MF
-494,3.31627778901063e-4,2,173,GO:0015631,tubulin binding,0.0100870116082407,MF
1582,9.14285485279431e-4,3,14,GO:0016229;GO:0033764,steroid dehydrogenase activity,0.0200228521276195,MF
-293,0.00119251275242372,2,417,GO:0016301;GO:0016773,kinase activity,0.0215293204441285,MF
621,1.22450877447366e-12,2,449,GO:0016491,oxidoreductase activity,1.34083710804866e-9,MF
1811,0.00232678570366904,4,9,GO:0016615,malate dehydrogenase activity,0.0330887057859428,MF
969,7.58745062750719e-7,4,84,GO:0016616;GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",7.25998032589545e-5,MF
1000,1.27765926632186e-4,3,47,GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",0.00499656034508013,MF
750,6.74579447933749e-4,3,66,GO:0016651,"oxidoreductase activity, acting on NAD(P)H",0.0159038807142237,MF
984,9.59002456028178e-4,2,36,GO:0016765,"transferase activity, transferring alkyl or aryl (other than methyl) groups",0.0201101485530953,MF
953,0.00189238495508944,3,34,GO:0016830,carbon-carbon lyase activity,0.0283857743263416,MF
-648,0.00268477426675185,5,69,GO:0017048,Rho GTPase binding,0.035623792035319,MF
-757,0.00116690388853492,4,59,GO:0017124,SH3 domain binding,0.0215293204441285,MF
-1660,0.00127736237946883,2,12,GO:0019870,potassium channel inhibitor activity,0.0218548719612245,MF
-434,7.23544305837567e-7,2,447,GO:0019900;GO:0019901,kinase binding,7.25998032589545e-5,MF
-483,5.00718964464111e-8,2,435,GO:0019904,protein domain specific binding,8.42375221115215e-6,MF
-814,5.96384116797634e-7,3,122,GO:0022839;GO:0022836,gated channel activity,7.25600675437121e-5,MF
-1493,0.00256553971117578,6,13,GO:0022840;GO:0022842;GO:0022841,leak channel activity,0.0347866291540171,MF
-2524,0.00156023690639549,3,5,GO:0022848,acetylcholine-gated cation-selective channel activity,0.0240628086268037,MF
-1703,0.00155827470467378,2,11,GO:0030507,spectrin binding,0.0240628086268037,MF
-906,0.0013606465561676,2,40,GO:0030544,Hsp70 protein binding,0.0222374325224406,MF
-619,6.47332665160648e-4,3,98,GO:0031072,heat shock protein binding,0.0159038807142237,MF
-704,0.00253606468617041,2,59,GO:0031490,chromatin DNA binding,0.0347866291540171,MF
-347,0.00345754319753263,5,235,GO:0031625;GO:0044389,ubiquitin-like protein ligase binding,0.0426877855173429,MF
-2353,0.00123867323103205,9,6,GO:0035497,cAMP response element binding,0.0215293204441285,MF
-1349,2.92258493025443e-4,2,23,GO:0042805;GO:0051393,actinin binding,0.00914351571036743,MF
-1440,2.20939927501339e-4,4,21,GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding",0.00756028814418644,MF
-1556,4.89395872893343e-4,2,16,GO:0045503,dynein light chain binding,0.0127592495432907,MF
-432,7.32802205903673e-4,5,201,GO:0046873,metal ion transmembrane transporter activity,0.0166662274398254,MF
473,6.35568490964914e-5,2,236,GO:0048037,cofactor binding,0.00284245601590648,MF
516,4.85075028402693e-4,3,149,GO:0050662,coenzyme binding,0.0127592495432907,MF
-1057,0.00211334328685332,2,27,GO:0051019,mitogen-activated protein kinase binding,0.0305435420981439,MF
1094,0.00270025090313377,2,24,GO:0051536;GO:0051540,iron-sulfur cluster binding,0.035623792035319,MF
-1392,0.00252805782092877,2,15,GO:0051959,dynein light intermediate chain binding,0.0347866291540171,MF
-1722,0.00380537248051606,2,9,GO:0070097,delta-catenin binding,0.0452922050670118,MF
-1798,0.00144842719974325,4,10,GO:0071837,HMG box domain binding,0.022985909908969,MF
-794,0.00363604262734425,3,43,GO:0099094,ligand-gated cation channel activity,0.0442385186326884,MF
713,1.79580730064229e-6,2,146,GO:0140097,"catalytic activity, acting on DNA",1.51262230323331e-4,MF
-675,7.21879614564202e-6,2,144,GO:1901981;GO:0035091,phosphatidylinositol binding,4.16030619972527e-4,MF
-707,9.7336792083475e-4,3,70,GO:1902936,phosphatidylinositol bisphosphate binding,0.0201101485530953,MF
-968,0.00257325749906428,3,31,GO:1990841,promoter-specific chromatin binding,0.0347866291540171,MF
-1101,7.45794652558398e-4,2,30,GO:1990939,ATP-dependent microtubule motor activity,0.0166662274398254,MF
-625,3.5092729305267e-10,2,452,GO:0000122,negative regulation of transcription by RNA polymerase II,1.43579395328978e-7,BP
-2012,6.81818500468514e-4,2,12,GO:0000183,chromatin silencing at rDNA,0.012804774985848,BP
931,7.33824214812152e-5,2,77,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",0.00237477124431865,BP
-472,6.96192426638565e-6,2,404,GO:0000226,microtubule cytoskeleton organization,3.70067773006496e-4,BP
-367,0.00138487863462639,4,334,GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397,mRNA processing,0.0207659288459161,BP
-1728,0.00352641594620855,4,12,GO:0000380,"alternative mRNA splicing, via spliceosome",0.0411391253358097,BP
-649,7.95837106411793e-4,2,114,GO:0000578;GO:0007351;GO:0008595,embryonic axis specification,0.0142599388854552,BP
-524,9.27845827072413e-11,2,715,GO:0000902;GO:0031175,cell morphogenesis,5.31470089747078e-8,BP
-489,2.91179211857917e-8,4,589,GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667,cell morphogenesis involved in differentiation,4.63298479311708e-6,BP
-1055,3.60014642685855e-5,2,65,GO:0001508,action potential,0.00139335396844904,BP
-1406,0.0021821560080608,3,20,GO:0001539;GO:0060285,cilium or flagellum-dependent cell motility,0.0289337722550284,BP
-466,1.63346582753223e-4,2,287,GO:0001558,regulation of cell growth,0.00433170937967806,BP
-1230,1.55411797204477e-8,5,90,GO:0001578;GO:0035082,microtubule bundle formation,2.9461176918912e-6,BP
-522,7.11332731380637e-9,4,562,GO:0001654;GO:0007423,sensory organ development,1.40500478805113e-6,BP
-485,2.06697781360588e-4,2,255,GO:0001666;GO:0036293;GO:0070482,response to oxygen levels,0.00512538914127034,BP
-555,1.66406438062291e-4,6,199,GO:0001745;GO:0048749,compound eye development,0.00435278319874212,BP
-276,0.00367993933072956,2,499,GO:0001775;GO:0045321,cell activation,0.0423498152486922,BP
-514,1.35327704204212e-4,4,240,GO:0001817,regulation of cytokine production,0.00381850783094447,BP
-525,0.00242377069299567,2,143,GO:0001819,positive regulation of cytokine production,0.0308519078432871,BP
-686,0.00326952936876406,2,78,GO:0001890,placenta development,0.0386141530397537,BP
-944,0.003293569611434,2,41,GO:0001892,embryonic placenta development,0.0388180385479299,BP
-354,1.43588810313627e-5,2,700,GO:0001932,regulation of protein phosphorylation,6.37578841454617e-4,BP
-454,8.40426886830602e-5,4,331,GO:0001933;GO:0042326;GO:0045936;GO:0010563,negative regulation of phosphate metabolic process,0.00261628543900309,BP
-311,6.89718729449603e-4,8,543,GO:0001934;GO:0042327;GO:0045937;GO:0010562,positive regulation of phosphate metabolic process,0.0128687585742258,BP
-1718,1.81292995500577e-4,2,20,GO:0001964,startle response,0.0046408955071187,BP
-359,1.35524566509169e-5,4,682,GO:0002009;GO:0048729,tissue morphogenesis,6.16098981717873e-4,BP
-467,3.12185977855614e-5,3,352,GO:0002064;GO:0002065;GO:0002066,epithelial cell development,0.00123324226286687,BP
-410,0.00300671495189603,2,227,GO:0002119,nematode larval development,0.036411127366724,BP
-338,0.00406755020295118,2,317,GO:0002164,larval development,0.0449786246380393,BP
-365,0.00107828534402837,2,355,GO:0002165;GO:0007560;GO:0048563;GO:0009886;GO:0007552;GO:0048707,instar larval or pupal development,0.0176974740704714,BP
1185,9.97779194297971e-8,2,86,GO:0002181,cytoplasmic translation,1.28026738343384e-5,BP
-788,0.00353888695785012,2,58,GO:0002221,pattern recognition receptor signaling pathway,0.0412007001922063,BP
-834,0.00316477228587293,3,53,GO:0002244,hematopoietic progenitor cell differentiation,0.0376877664313517,BP
-292,0.00397945726096276,3,434,GO:0002520;GO:0030097;GO:0048534,immune system development,0.0444333941341027,BP
-557,2.6606922553341e-4,3,185,GO:0002521,leukocyte differentiation,0.00617022074435373,BP
-460,1.06302709481067e-7,3,614,GO:0002682,regulation of immune system process,1.32369982588598e-5,BP
-456,4.52647211884457e-5,4,354,GO:0002684,positive regulation of immune system process,0.00170576528268037,BP
-507,0.00051095301297514805,2,203,GO:0002694;GO:0050865;GO:0051249,regulation of cell activation,0.0103785065897931,BP
-578,1.05944032100128e-4,2,194,GO:0002697,regulation of immune effector process,0.00314428712885768,BP
-991,0.00381238054172916,4,36,GO:0002784;GO:0002759,regulation of antimicrobial humoral response,0.0435874565729035,BP
-412,0.00182498934634495,6,249,GO:0002791;GO:0050708,regulation of peptide secretion,0.0251892505442503,BP
-1663,0.003481049014513,6,13,GO:0002805,regulation of antimicrobial peptide biosynthetic process,0.0407759688243977,BP
-449,6.2579546959655e-7,3,561,GO:0003002;GO:0007389,pattern specification process,5.43114613613491e-5,BP
-1774,0.00413298586195136,4,11,GO:0003299;GO:0014887;GO:0014888;GO:0014898,striated muscle adaptation,0.0455264288793411,BP
-1388,1.392985807856e-7,4,61,GO:0003341,cilium movement,1.55130082116468e-5,BP
471,0.00175012867458304,2,191,GO:0006066,alcohol metabolic process,0.0246308035577682,BP
500,2.92590837941722e-9,2,652,GO:0006082;GO:0019752;GO:0043436,organic acid metabolic process,6.98316799887577e-7,BP
713,3.98295664667448e-8,2,259,GO:0006091,generation of precursor metabolites and energy,6.0037830716188e-6,BP
-1163,0.00326186117332607,2,27,GO:0006110;GO:0030811,regulation of glycolytic process,0.0386031834727515,BP
1757,4.19635026249225e-12,2,66,GO:0006119,oxidative phosphorylation,6.0091735758889e-9,BP
1999,1.12716870517233e-6,2,25,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",8.96725325448209e-5,BP
413,8.76132177362341e-6,2,526,GO:0006259,DNA metabolic process,4.49900370874527e-4,BP
741,1.11368101028379e-5,3,151,GO:0006260,DNA replication,5.31597068908796e-4,BP
876,1.05190167385309e-5,6,108,GO:0006261,DNA-dependent DNA replication,5.10618032866991e-4,BP
2606,0.00449021917155084,3,5,GO:0006272,leading strand elongation,0.0481647479674966,BP
1344,0.00340764958656534,6,20,GO:0006277;GO:0007307,DNA amplification,0.0400471565744702,BP
434,1.78626556439142e-4,5,328,GO:0006281,DNA repair,0.00460888700578111,BP
563,9.36114707818084e-4,2,148,GO:0006302,double-strand break repair,0.0161507983324759,BP
502,0.00291917218463743,5,151,GO:0006310,DNA recombination,0.0356955378623884,BP
-852,8.10024438182779e-5,7,91,GO:0006342;GO:0045814;GO:0097549;GO:0034401,"negative regulation of gene expression, epigenetic",0.00256343645409445,BP
-345,5.3913289546846e-4,3,452,GO:0006351;GO:0097659;GO:0032774;GO:0006366,RNA biosynthetic process,0.0107977385498019,BP
-421,0.00429537946349198,3,199,GO:0006403,RNA localization,0.0467755391005362,BP
543,1.77219491368585e-5,4,273,GO:0006412;GO:0043043,peptide biosynthetic process,7.63243042525756e-4,BP
757,2.6536317463751e-4,2,99,GO:0006413,translational initiation,0.00617022074435373,BP
823,0.00151899697130315,3,63,GO:0006414,translational elongation,0.0223671327805256,BP
