,contrast,,,,,,,Contrast,estimate,SE,df,t.ratio,p.value
,(Treated,SI-C,num_days0),-,(Untreated,BC-8b,num_days28),(Treated SI-C num_days0)-(Untreated BC-8b num_days28),3.0692,1.229,8.14,2.496,1
,(Treated,SI-C,num_days0),-,(Treated,MB-B,num_days28),(Treated SI-C num_days0)-(Treated MB-B num_days28),2.8725,0.936,52,3.07,0.5195
,(Treated,SI-C,num_days0),-,(Untreated,MB-B,num_days28),(Treated SI-C num_days0)-(Untreated MB-B num_days28),2.665,1.229,8.14,2.168,1
,(Treated,SI-C,num_days0),-,(Treated,SI-C,num_days28),(Treated SI-C num_days0)-(Treated SI-C num_days28),3.0908,0.936,52,3.304,0.2649
,(Treated,SI-C,num_days0),-,(Untreated,SI-C,num_days28),(Treated SI-C num_days0)-(Untreated SI-C num_days28),3.2475,1.229,8.14,2.642,1
,(Untreated,SI-C,num_days0),-,(Treated,BC-8b,num_days7),(Untreated SI-C num_days0)-(Treated BC-8b num_days7),-5.3817,1.229,8.14,-4.378,0.3457
,(Untreated,SI-C,num_days0),-,(Untreated,BC-8b,num_days7),(Untreated SI-C num_days0)-(Untreated BC-8b num_days7),-2.07,0.936,52,-2.213,1
,(Untreated,SI-C,num_days0),-,(Treated,MB-B,num_days7),(Untreated SI-C num_days0)-(Treated MB-B num_days7),-1.2675,1.229,8.14,-1.031,1
,(Untreated,SI-C,num_days0),-,(Untreated,MB-B,num_days7),(Untreated SI-C num_days0)-(Untreated MB-B num_days7),-0.8558,0.936,52,-0.915,1
,(Untreated,SI-C,num_days0),-,(Treated,SI-C,num_days7),(Untreated SI-C num_days0)-(Treated SI-C num_days7),-2.1767,1.229,8.14,-1.771,1
,(Untreated,SI-C,num_days0),-,(Untreated,SI-C,num_days7),(Untreated SI-C num_days0)-(Untreated SI-C num_days7),-2.0458,0.936,52,-2.187,1
,(Untreated,SI-C,num_days0),-,(Treated,BC-8b,num_days28),(Untreated SI-C num_days0)-(Treated BC-8b num_days28),2.6542,1.229,8.14,2.159,1
,(Untreated,SI-C,num_days0),-,(Untreated,BC-8b,num_days28),(Untreated SI-C num_days0)-(Untreated BC-8b num_days28),3.11,0.936,52,3.324,0.2494
,(Untreated,SI-C,num_days0),-,(Treated,MB-B,num_days28),(Untreated SI-C num_days0)-(Treated MB-B num_days28),2.9133,1.229,8.14,2.37,1
,(Untreated,SI-C,num_days0),-,(Untreated,MB-B,num_days28),(Untreated SI-C num_days0)-(Untreated MB-B num_days28),2.7058,0.936,52,2.892,0.8528
,(Untreated,SI-C,num_days0),-,(Treated,SI-C,num_days28),(Untreated SI-C num_days0)-(Treated SI-C num_days28),3.1317,1.229,8.14,2.547,1
,(Untreated,SI-C,num_days0),-,(Untreated,SI-C,num_days28),(Untreated SI-C num_days0)-(Untreated SI-C num_days28),3.2883,0.936,52,3.515,0.1409
,(Treated,BC-8b,num_days7),-,(Untreated,BC-8b,num_days7),(Treated BC-8b num_days7)-(Untreated BC-8b num_days7),3.3117,1.229,8.14,2.694,1
,(Treated,BC-8b,num_days7),-,(Treated,MB-B,num_days7),(Treated BC-8b num_days7)-(Treated MB-B num_days7),4.1142,0.936,52,4.398,0.0083
,(Treated,BC-8b,num_days7),-,(Untreated,MB-B,num_days7),(Treated BC-8b num_days7)-(Untreated MB-B num_days7),4.5258,1.229,8.14,3.681,0.9211
,(Treated,BC-8b,num_days7),-,(Treated,SI-C,num_days7),(Treated BC-8b num_days7)-(Treated SI-C num_days7),3.205,0.936,52,3.426,0.1844
,(Treated,BC-8b,num_days7),-,(Untreated,SI-C,num_days7),(Treated BC-8b num_days7)-(Untreated SI-C num_days7),3.3358,1.229,8.14,2.713,1
,(Treated,BC-8b,num_days7),-,(Treated,BC-8b,num_days28),(Treated BC-8b num_days7)-(Treated BC-8b num_days28),8.0358,0.936,52,8.589,<.0001
,(Treated,BC-8b,num_days7),-,(Untreated,BC-8b,num_days28),(Treated BC-8b num_days7)-(Untreated BC-8b num_days28),8.4917,1.229,8.14,6.907,0.0174
,(Treated,BC-8b,num_days7),-,(Treated,MB-B,num_days28),(Treated BC-8b num_days7)-(Treated MB-B num_days28),8.295,0.936,52,8.866,<.0001
,(Treated,BC-8b,num_days7),-,(Untreated,MB-B,num_days28),(Treated BC-8b num_days7)-(Untreated MB-B num_days28),8.0875,1.229,8.14,6.578,0.0245
,(Treated,BC-8b,num_days7),-,(Treated,SI-C,num_days28),(Treated BC-8b num_days7)-(Treated SI-C num_days28),8.5133,0.936,52,9.1,<.0001
,(Treated,BC-8b,num_days7),-,(Untreated,SI-C,num_days28),(Treated BC-8b num_days7)-(Untreated SI-C num_days28),8.67,1.229,8.14,7.052,0.015
,(Untreated,BC-8b,num_days7),-,(Treated,MB-B,num_days7),(Untreated BC-8b num_days7)-(Treated MB-B num_days7),0.8025,1.229,8.14,0.653,1
,(Untreated,BC-8b,num_days7),-,(Untreated,MB-B,num_days7),(Untreated BC-8b num_days7)-(Untreated MB-B num_days7),1.2142,0.936,52,1.298,1
,(Untreated,BC-8b,num_days7),-,(Treated,SI-C,num_days7),(Untreated BC-8b num_days7)-(Treated SI-C num_days7),-0.1067,1.229,8.14,-0.087,1
,(Untreated,BC-8b,num_days7),-,(Untreated,SI-C,num_days7),(Untreated BC-8b num_days7)-(Untreated SI-C num_days7),0.0242,0.936,52,0.026,1
,(Untreated,BC-8b,num_days7),-,(Treated,BC-8b,num_days28),(Untreated BC-8b num_days7)-(Treated BC-8b num_days28),4.7242,1.229,8.14,3.843,0.7294
,(Untreated,BC-8b,num_days7),-,(Untreated,BC-8b,num_days28),(Untreated BC-8b num_days7)-(Untreated BC-8b num_days28),5.18,0.936,52,5.537,0.0002
,(Untreated,BC-8b,num_days7),-,(Treated,MB-B,num_days28),(Untreated BC-8b num_days7)-(Treated MB-B num_days28),4.9833,1.229,8.14,4.054,0.5407
,(Untreated,BC-8b,num_days7),-,(Untreated,MB-B,num_days28),(Untreated BC-8b num_days7)-(Untreated MB-B num_days28),4.7758,0.936,52,5.105,0.0007
,(Untreated,BC-8b,num_days7),-,(Treated,SI-C,num_days28),(Untreated BC-8b num_days7)-(Treated SI-C num_days28),5.2017,1.229,8.14,4.231,0.4223
,(Untreated,BC-8b,num_days7),-,(Untreated,SI-C,num_days28),(Untreated BC-8b num_days7)-(Untreated SI-C num_days28),5.3583,0.936,52,5.727,0.0001
,(Treated,MB-B,num_days7),-,(Untreated,MB-B,num_days7),(Treated MB-B num_days7)-(Untreated MB-B num_days7),0.4117,1.229,8.14,0.335,1
,(Treated,MB-B,num_days7),-,(Treated,SI-C,num_days7),(Treated MB-B num_days7)-(Treated SI-C num_days7),-0.9092,0.936,52,-0.972,1
,(Treated,MB-B,num_days7),-,(Untreated,SI-C,num_days7),(Treated MB-B num_days7)-(Untreated SI-C num_days7),-0.7783,1.229,8.14,-0.633,1
,(Treated,MB-B,num_days7),-,(Treated,BC-8b,num_days28),(Treated MB-B num_days7)-(Treated BC-8b num_days28),3.9217,0.936,52,4.192,0.0165
,(Treated,MB-B,num_days7),-,(Untreated,BC-8b,num_days28),(Treated MB-B num_days7)-(Untreated BC-8b num_days28),4.3775,1.229,8.14,3.561,1
,(Treated,MB-B,num_days7),-,(Treated,MB-B,num_days28),(Treated MB-B num_days7)-(Treated MB-B num_days28),4.1808,0.936,52,4.469,0.0065
,(Treated,MB-B,num_days7),-,(Untreated,MB-B,num_days28),(Treated MB-B num_days7)-(Untreated MB-B num_days28),3.9733,1.229,8.14,3.232,1
,(Treated,MB-B,num_days7),-,(Treated,SI-C,num_days28),(Treated MB-B num_days7)-(Treated SI-C num_days28),4.3992,0.936,52,4.702,0.003
,(Treated,MB-B,num_days7),-,(Untreated,SI-C,num_days28),(Treated MB-B num_days7)-(Untreated SI-C num_days28),4.5558,1.229,8.14,3.706,0.8889
,(Untreated,MB-B,num_days7),-,(Treated,SI-C,num_days7),(Untreated MB-B num_days7)-(Treated SI-C num_days7),-1.3208,1.229,8.14,-1.074,1
,(Untreated,MB-B,num_days7),-,(Untreated,SI-C,num_days7),(Untreated MB-B num_days7)-(Untreated SI-C num_days7),-1.19,0.936,52,-1.272,1
,(Untreated,MB-B,num_days7),-,(Treated,BC-8b,num_days28),(Untreated MB-B num_days7)-(Treated BC-8b num_days28),3.51,1.229,8.14,2.855,1
,(Untreated,MB-B,num_days7),-,(Untreated,BC-8b,num_days28),(Untreated MB-B num_days7)-(Untreated BC-8b num_days28),3.9658,0.936,52,4.239,0.0141
,(Untreated,MB-B,num_days7),-,(Treated,MB-B,num_days28),(Untreated MB-B num_days7)-(Treated MB-B num_days28),3.7692,1.229,8.14,3.066,1
,(Untreated,MB-B,num_days7),-,(Untreated,MB-B,num_days28),(Untreated MB-B num_days7)-(Untreated MB-B num_days28),3.5617,0.936,52,3.807,0.057
,(Untreated,MB-B,num_days7),-,(Treated,SI-C,num_days28),(Untreated MB-B num_days7)-(Treated SI-C num_days28),3.9875,1.229,8.14,3.243,1
,(Untreated,MB-B,num_days7),-,(Untreated,SI-C,num_days28),(Untreated MB-B num_days7)-(Untreated SI-C num_days28),4.1442,0.936,52,4.43,0.0075
,(Treated,SI-C,num_days7),-,(Untreated,SI-C,num_days7),(Treated SI-C num_days7)-(Untreated SI-C num_days7),0.1308,1.229,8.14,0.106,1
,(Treated,SI-C,num_days7),-,(Treated,BC-8b,num_days28),(Treated SI-C num_days7)-(Treated BC-8b num_days28),4.8308,0.936,52,5.164,0.0006
,(Treated,SI-C,num_days7),-,(Untreated,BC-8b,num_days28),(Treated SI-C num_days7)-(Untreated BC-8b num_days28),5.2867,1.229,8.14,4.3,0.3841
,(Treated,SI-C,num_days7),-,(Treated,MB-B,num_days28),(Treated SI-C num_days7)-(Treated MB-B num_days28),5.09,0.936,52,5.441,0.0002
,(Treated,SI-C,num_days7),-,(Untreated,MB-B,num_days28),(Treated SI-C num_days7)-(Untreated MB-B num_days28),4.8825,1.229,8.14,3.971,0.6071
,(Treated,SI-C,num_days7),-,(Treated,SI-C,num_days28),(Treated SI-C num_days7)-(Treated SI-C num_days28),5.3083,0.936,52,5.674,0.0001
,(Treated,SI-C,num_days7),-,(Untreated,SI-C,num_days28),(Treated SI-C num_days7)-(Untreated SI-C num_days28),5.465,1.229,8.14,4.445,0.3154
,(Untreated,SI-C,num_days7),-,(Treated,BC-8b,num_days28),(Untreated SI-C num_days7)-(Treated BC-8b num_days28),4.7,1.229,8.14,3.823,0.7503
,(Untreated,SI-C,num_days7),-,(Untreated,BC-8b,num_days28),(Untreated SI-C num_days7)-(Untreated BC-8b num_days28),5.1558,0.936,52,5.511,0.0002
,(Untreated,SI-C,num_days7),-,(Treated,MB-B,num_days28),(Untreated SI-C num_days7)-(Treated MB-B num_days28),4.9592,1.229,8.14,4.034,0.5559
,(Untreated,SI-C,num_days7),-,(Untreated,MB-B,num_days28),(Untreated SI-C num_days7)-(Untreated MB-B num_days28),4.7517,0.936,52,5.079,0.0008
,(Untreated,SI-C,num_days7),-,(Treated,SI-C,num_days28),(Untreated SI-C num_days7)-(Treated SI-C num_days28),5.1775,1.229,8.14,4.211,0.434
,(Untreated,SI-C,num_days7),-,(Untreated,SI-C,num_days28),(Untreated SI-C num_days7)-(Untreated SI-C num_days28),5.3342,0.936,52,5.702,0.0001
,(Treated,BC-8b,num_days28),-,(Untreated,BC-8b,num_days28),(Treated BC-8b num_days28)-(Untreated BC-8b num_days28),0.4558,1.229,8.14,0.371,1
,(Treated,BC-8b,num_days28),-,(Treated,MB-B,num_days28),(Treated BC-8b num_days28)-(Treated MB-B num_days28),0.2592,0.936,52,0.277,1
,(Treated,BC-8b,num_days28),-,(Untreated,MB-B,num_days28),(Treated BC-8b num_days28)-(Untreated MB-B num_days28),0.0517,1.229,8.14,0.042,1
,(Treated,BC-8b,num_days28),-,(Treated,SI-C,num_days28),(Treated BC-8b num_days28)-(Treated SI-C num_days28),0.4775,0.936,52,0.51,1
,(Treated,BC-8b,num_days28),-,(Untreated,SI-C,num_days28),(Treated BC-8b num_days28)-(Untreated SI-C num_days28),0.6342,1.229,8.14,0.516,1
,(Untreated,BC-8b,num_days28),-,(Treated,MB-B,num_days28),(Untreated BC-8b num_days28)-(Treated MB-B num_days28),-0.1967,1.229,8.14,-0.16,1
,(Untreated,BC-8b,num_days28),-,(Untreated,MB-B,num_days28),(Untreated BC-8b num_days28)-(Untreated MB-B num_days28),-0.4042,0.936,52,-0.432,1
,(Untreated,BC-8b,num_days28),-,(Treated,SI-C,num_days28),(Untreated BC-8b num_days28)-(Treated SI-C num_days28),0.0217,1.229,8.14,0.018,1
,(Untreated,BC-8b,num_days28),-,(Untreated,SI-C,num_days28),(Untreated BC-8b num_days28)-(Untreated SI-C num_days28),0.1783,0.936,52,0.191,1
,(Treated,MB-B,num_days28),-,(Untreated,MB-B,num_days28),(Treated MB-B num_days28)-(Untreated MB-B num_days28),-0.2075,1.229,8.14,-0.169,1
,(Treated,MB-B,num_days28),-,(Treated,SI-C,num_days28),(Treated MB-B num_days28)-(Treated SI-C num_days28),0.2183,0.936,52,0.233,1
,(Treated,MB-B,num_days28),-,(Untreated,SI-C,num_days28),(Treated MB-B num_days28)-(Untreated SI-C num_days28),0.375,1.229,8.14,0.305,1
,(Untreated,MB-B,num_days28),-,(Treated,SI-C,num_days28),(Untreated MB-B num_days28)-(Treated SI-C num_days28),0.4258,1.229,8.14,0.346,1
,(Untreated,MB-B,num_days28),-,(Untreated,SI-C,num_days28),(Untreated MB-B num_days28)-(Untreated SI-C num_days28),0.5825,0.936,52,0.623,1
,(Treated,SI-C,num_days28),-,(Untreated,SI-C,num_days28),(Treated SI-C num_days28)-(Untreated SI-C num_days28),0.1567,1.229,8.14,0.127,1
,,,,,,,,,,,,,
Degrees-of-freedom,method:,kenward-roger,,,,,,,,,,,
P,value,adjustment:,bonferroni,method,for,153,tests,,,,,,
